tournament_year,match_date,stage,team_awarded,opponent,converted,taker,source_url
1978,1978-06-11,Group 4,Netherlands,Scotland,yes,Rensenbrink,https://www.rsssf.org/tables/78full.html
1978,1978-06-11,Group 4,Scotland,Netherlands,yes,Gemmill,https://www.rsssf.org/tables/78full.html
1978,1978-06-11,Group 4,Peru,Iran,yes,Cubillas,https://www.rsssf.org/tables/78full.html
1978,1978-06-11,Group 4,Peru,Iran,yes,Cubillas,https://www.rsssf.org/tables/78full.html
1978,1978-06-14,Second round Group A,Netherlands,Austria,yes,Rensenbrink,https://www.rsssf.org/tables/78full.html
1978,1978-06-14,Second round Group B,Brazil,Peru,yes,Zico,https://www.rsssf.org/tables/78full.html
1978,1978-06-14,Second round Group B,Poland,Argentina,no,Deyna,https://www.rsssf.org/tables/78full.html
1982,1982-06-16,Group 5,Spain,Honduras,yes,López Ufarte,https://www.rsssf.org/tables/82full.html
1982,1982-06-17,Group 2,Chile,Austria,no,Caszely,https://www.rsssf.org/tables/82full.html
1982,1982-06-17,Group 4,Czechoslovakia,Kuwait,yes,Panenka,https://www.rsssf.org/tables/82full.html
1982,1982-06-20,Group 5,Spain,Yugoslavia,yes,Juanito,https://www.rsssf.org/tables/82full.html
1982,1982-06-23,Group 3,Argentina,El Salvador,yes,Passarella,https://www.rsssf.org/tables/82full.html
1982,1982-06-24,Group 2,Chile,Algeria,yes,Neira,https://www.rsssf.org/tables/82full.html
1982,1982-06-24,Group 4,Czechoslovakia,France,yes,Panenka,https://www.rsssf.org/tables/82full.html
1982,1982-06-24,Group 5,Yugoslavia,Honduras,yes,Petrović,https://web.archive.org/web/20170405011540/http://www.linguasport.com/futbol/internacional/mundial/1982_SPAIN_FS.htm
1982,1982-07-08,Semi-final,France,West Germany,yes,Platini,https://www.rsssf.org/tables/82full.html
1982,1982-07-11,Final,Italy,West Germany,no,Cabrini,https://www.rsssf.org/tables/82full.html
1986,1986-06-02,Group C,Soviet Union,Hungary,yes,Belanov,https://www.rsssf.org/tables/86full.html
1986,1986-06-02,Group C,Soviet Union,Hungary,no,Yevtushenko,https://www.rsssf.org/tables/86full.html
1986,1986-06-05,Group A,Italy,Argentina,yes,Altobelli,https://www.rsssf.org/tables/86full.html
1986,1986-06-07,Group B,Mexico,Paraguay,no,Hugo Sánchez,https://www.rsssf.org/tables/86full.html
1986,1986-06-08,Group B,Belgium,Iraq,yes,Claesen,https://www.rsssf.org/tables/86full.html
1986,1986-06-08,Group E,Uruguay,Denmark,yes,Francescoli,https://www.rsssf.org/tables/86full.html
1986,1986-06-10,Group A,Italy,South Korea,no,Altobelli,https://www.rsssf.org/tables/86full.html
1986,1986-06-13,Group E,Denmark,West Germany,yes,J.Olsen,https://www.rsssf.org/tables/86full.html
1986,1986-06-15,Round of 16,Soviet Union,Belgium,yes,Belanov,https://www.rsssf.org/tables/86full.html
1986,1986-06-16,Round of 16,Brazil,Poland,yes,Sócrates,https://www.rsssf.org/tables/86full.html
1986,1986-06-16,Round of 16,Brazil,Poland,yes,Careca,https://www.rsssf.org/tables/86full.html
1986,1986-06-18,Round of 16,Denmark,Spain,yes,J.Olsen,https://www.rsssf.org/tables/86full.html
1986,1986-06-18,Round of 16,Spain,Denmark,yes,Goicoechea,https://www.rsssf.org/tables/86full.html
1986,1986-06-18,Round of 16,Spain,Denmark,yes,Butragueño,https://www.rsssf.org/tables/86full.html
1986,1986-06-21,Quarter-final,Brazil,France,no,Zico,https://www.rsssf.org/tables/86full.html
1986,1986-06-28,Third place,France,Belgium,yes,Amorós,https://www.rsssf.org/tables/86full.html
