competition,year,player,team,position,minutes,tackles,tackles_won,challenges_att,challenges_lost,fouls_committed,fouls_drawn,yellow_cards,red_cards,source_url
FIFA World Cup,2018,Mohamed Ben Amor,Tunisia,MF,18,,1,,,0,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Mouez Hassen,Tunisia,GK,15,,0,,,0,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Naïm Sliti,Tunisia,MF,180,,1,,,1,3,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Oussama Haddadi,Tunisia,DF,90,,1,,,1,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Rami Bedoui,Tunisia,DF,90,,0,,,0,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Saber Khalifa,Tunisia,FW,6,,0,,,0,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Saîf-Eddine Khaoui,Tunisia,MF,90,,1,,,2,2,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Syam Ben Youssef,Tunisia,DF,130,,3,,,5,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Wahbi Khazri,Tunisia,FW,262,,2,,,3,4,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Yassine Meriah,Tunisia,DF,270,,2,,,4,4,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Yohan Benalouane,Tunisia,DF,50,,1,,,1,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Carlos Sánchez,Uruguay,MF,124,,1,,,1,4,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Cristhian Stuani,Uruguay,FW,75,,2,,,5,3,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Cristian Rodríguez,Uruguay,MF,168,,1,,,4,2,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Diego Godín,Uruguay,DF,450,,5,,,5,5,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Diego Laxalt,Uruguay,DF,302,,3,,,4,5,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Edinson Cavani,Uruguay,FW,342,,4,,,4,6,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Fernando Muslera,Uruguay,GK,450,,0,,,0,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Giorgian de Arrascaeta,Uruguay,MF,86,,2,,,1,2,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Guillermo Varela,Uruguay,DF,180,,4,,,0,2,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Jonathan Urretaviscaya,Uruguay,MF,18,,0,,,0,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,José María Giménez,Uruguay,DF,360,,4,,,3,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Lucas Torreira,Uruguay,MF,306,,4,,,4,7,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Luis Suárez,Uruguay,FW,450,,0,,,6,11,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Martín Cáceres,Uruguay,DF,450,,2,,,4,2,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Matías Vecino,Uruguay,MF,414,,4,,,9,3,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Maxi Gómez,Uruguay,FW,33,,1,,,1,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Nahitan Nández,Uruguay,MF,290,,7,,,6,7,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Rodrigo Bentancur,Uruguay,MF,362,,5,,,8,7,2,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Sebastián Coates,Uruguay,DF,90,,0,,,2,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2022,Alexis Mac Allister,Argentina,MF,550,9,4,7,3,1,13,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Cristian Romero,Argentina,DF,547,5,3,8,4,12,3,2,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Emiliano Martínez,Argentina,GK,690,0,0,0,0,0,1,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Enzo Fernández,Argentina,MF,564,22,15,23,10,7,6,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Exequiel Palacios,Argentina,"DF,MF",50,0,0,2,2,2,3,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Germán Pezzella,Argentina,DF,60,0,0,0,0,2,2,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Gonzalo Montiel,Argentina,DF,118,3,2,4,2,4,2,3,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Guido Rodríguez,Argentina,MF,56,2,0,2,0,0,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Juan Foyth,Argentina,DF,5,0,0,0,0,0,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Julián Álvarez,Argentina,FW,464,4,2,2,2,13,2,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Lautaro Martínez,Argentina,FW,241,0,0,0,0,1,5,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Leandro Paredes,Argentina,MF,225,10,4,4,1,6,5,2,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Lionel Messi,Argentina,FW,690,5,3,2,2,10,22,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Lisandro Martínez,Argentina,DF,303,6,2,2,0,2,3,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Marcos Acuña,Argentina,"DF,MF",373,12,8,7,1,9,9,3,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Nahuel Molina,Argentina,"DF,MF",567,8,4,8,4,3,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Nicolás Otamendi,Argentina,DF,690,10,6,7,2,13,5,2,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Nicolás Tagliafico,Argentina,DF,373,7,7,4,0,6,6,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Papu Gómez,Argentina,"MF,FW",107,2,0,1,1,1,5,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Paulo Dybala,Argentina,"FW,MF",18,3,1,0,0,1,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Rodrigo De Paul,Argentina,MF,599,11,6,13,5,7,15,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Thiago Almada,Argentina,"FW,MF",7,0,0,0,0,0,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Ángel Correa,Argentina,"FW,MF",5,1,1,0,0,0,1,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Ángel Di María,Argentina,"MF,FW",288,3,1,3,2,0,7,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Aaron Mooy,Australia,MF,360,9,6,8,2,4,1,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Ajdin Hrustic,Australia,MF,62,2,0,1,0,1,2,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Awer Mabil,Australia,"FW,MF",24,0,0,0,0,0,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Aziz Behich,Australia,DF,360,8,3,6,1,3,3,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Bailey Wright,Australia,DF,17,0,0,0,0,0,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Craig Goodwin,Australia,MF,234,4,3,5,3,1,2,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Fran Karačić,Australia,DF,93,2,1,1,0,3,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Garang Kuol,Australia,MF,37,0,0,0,0,1,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Harry Souttar,Australia,DF,360,4,0,3,1,1,1,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Jackson Irvine,Australia,"MF,FW",354,4,2,4,2,7,2,2,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Jamie Maclaren,Australia,FW,55,0,0,3,3,1,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Jason Cummings,Australia,FW,35,0,0,0,0,0,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Keanu Baccus,Australia,MF,114,1,1,2,2,4,1,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Kye Rowles,Australia,DF,360,8,2,7,3,1,2,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Mathew Leckie,Australia,MF,333,4,4,5,3,8,6,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Mathew Ryan,Australia,GK,360,0,0,0,0,0,1,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Miloš Degenek,Australia,DF,183,6,4,6,1,2,8,2,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Mitchell Duke,Australia,FW,270,0,0,0,0,6,3,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Nathaniel Atkinson,Australia,DF,84,4,3,6,2,0,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Riley McGree,Australia,"MF,FW",265,2,1,1,1,9,2,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Amadou Onana,Belgium,MF,104,4,1,2,1,4,3,2,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Axel Witsel,Belgium,MF,270,4,2,1,0,5,4,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Charles De Ketelaere,Belgium,"FW,MF",16,0,0,0,0,0,1,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Dries Mertens,Belgium,FW,76,2,0,3,1,0,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Eden Hazard,Belgium,FW,124,0,0,0,0,0,7,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Jan Vertonghen,Belgium,DF,270,0,0,1,1,0,6,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Jeremy Doku,Belgium,"FW,MF",19,0,0,0,0,0,1,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Kevin De Bruyne,Belgium,"FW,MF",270,1,1,2,2,0,2,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Leander Dendoncker,Belgium,DF,161,6,3,4,0,3,0,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Leandro Trossard,Belgium,FW,103,1,1,1,0,0,2,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Loïs Openda,Belgium,FW,13,1,0,0,0,0,1,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Michy Batshuayi,Belgium,FW,151,1,0,1,0,5,1,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Romelu Lukaku,Belgium,FW,55,0,0,0,0,1,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Thibaut Courtois,Belgium,GK,270,0,0,0,0,0,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Thomas Meunier,Belgium,MF,211,6,6,5,1,4,1,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Thorgan Hazard,Belgium,MF,106,3,2,2,2,2,2,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Timothy Castagne,Belgium,"MF,DF",270,7,4,6,2,3,1,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Toby Alderweireld,Belgium,DF,270,4,2,5,3,0,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Yannick Carrasco,Belgium,"MF,FW",116,5,4,7,2,1,2,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Youri Tielemans,Belgium,MF,95,3,1,1,0,2,1,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Alex Sandro,Brazil,DF,190,8,3,2,0,3,2,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Alex Telles,Brazil,DF,59,2,2,1,0,1,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Alisson,Brazil,GK,379,0,0,0,0,0,1,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Antony,Brazil,MF,172,3,0,2,1,2,5,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Bruno Guimarães,Brazil,MF,69,0,0,0,0,2,2,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Casemiro,Brazil,MF,390,11,4,6,2,7,3,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Dani Alves,Brazil,DF,118,5,4,5,3,5,2,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Danilo,Brazil,DF,281,5,2,3,1,3,1,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Ederson Moraes,Brazil,GK,90,0,0,0,0,0,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Everton Ribeiro,Brazil,MF,36,1,0,1,0,0,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Fabinho,Brazil,MF,90,3,2,2,0,2,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Fred,Brazil,MF,142,3,3,2,1,3,0,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Gabriel Jesus,Brazil,FW,93,2,1,0,0,1,4,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Gabriel Martinelli,Brazil,FW,113,2,1,2,1,2,3,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Gleison Bremer,Brazil,DF,109,1,1,1,1,2,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Lucas Paquetá,Brazil,MF,314,7,5,5,3,4,2,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Marquinhos,Brazil,DF,426,5,4,5,1,1,2,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Neymar,Brazil,"MF,FW",279,1,0,0,0,4,16,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Pedro,Brazil,FW,64,2,2,1,0,2,1,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Raphinha,Brazil,"FW,MF",315,8,6,8,2,2,5,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Richarlison,Brazil,FW,323,2,2,0,0,5,6,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Rodrygo,Brazil,MF,181,4,1,4,4,3,6,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Thiago Silva,Brazil,DF,390,3,1,0,0,2,3,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Vinicius Júnior,Brazil,"FW,MF",299,3,1,2,2,0,7,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Wéverton,Brazil,GK,11,0,0,0,0,0,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Éder Militão,Brazil,DF,347,7,6,4,1,7,3,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,André Onana,Cameroon,GK,80,0,0,0,0,0,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Bryan Mbeumo,Cameroon,"FW,MF",233,0,0,0,0,1,8,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Christian Bassogog,Cameroon,"FW,MF",24,0,0,0,0,0,1,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Christopher Wooh,Cameroon,DF,90,1,0,2,1,2,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Collins Fai,Cameroon,DF,270,5,2,6,3,4,4,2,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Devis Epassy,Cameroon,GK,180,0,0,0,0,0,1,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Enzo Ebosse,Cameroon,DF,90,4,2,1,0,0,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Eric Maxim Choupo-Moting,Cameroon,FW,253,4,2,2,1,0,1,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Frank Anguissa,Cameroon,MF,260,4,0,3,2,6,4,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Gaël Ondoua,Cameroon,MF,47,2,1,1,0,2,1,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Georges-Kévin N'Koudou,Cameroon,"FW,MF",27,0,0,0,0,1,1,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Jean-Charles Castelletto,Cameroon,DF,180,3,3,1,1,1,1,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Jerome Ngom Mbekeli,Cameroon,MF,5,0,0,0,0,0,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Karl Toko Ekambi,Cameroon,FW,166,1,1,1,1,0,3,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Martin Hongla,Cameroon,MF,121,0,0,0,0,1,1,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Moumi Ngamaleu,Cameroon,MF,95,3,1,1,0,3,5,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Nicolas Nkoulou,Cameroon,DF,180,2,0,2,2,2,2,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Nouhou Tolo,Cameroon,DF,270,8,5,5,2,3,1,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Olivier Ntcham,Cameroon,MF,25,0,0,0,0,0,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Pierre Kunde,Cameroon,MF,131,4,2,2,2,3,1,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Samuel Oum Gouet,Cameroon,MF,100,1,1,0,0,0,1,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Vincent Aboubakar,Cameroon,FW,142,0,0,0,0,3,2,2,1,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Alistair Johnston,Canada,DF,270,5,3,7,5,5,3,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Alphonso Davies,Canada,"MF,FW",270,2,1,1,1,4,4,1,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Atiba Hutchinson,Canada,MF,159,4,1,2,0,2,2,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,Cyle Larin,Canada,FW,137,0,0,1,1,2,0,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
FIFA World Cup,2022,David Wotherspoon,Canada,MF,15,0,0,0,0,0,1,0,0,https://web.archive.org/web/20241213210916/https://fbref.com/en/comps/1/defense/World-Cup-Stats
