pair,pair_effect_mean,pair_effect_sd,referee,team,n_matches,yellows_total,yellows_mean,expected_nonpair,oe_ratio_raw,rate_ratio_shrunk,z,abs_rank,is_argentina,pair_effect_mean_2vc,abs_rank_2vc
Noumandiez Doué | France,-0.001864,0.038871,Noumandiez Doué,France,1,0,0.0,1.212211,0.0,0.998138,-0.047952,329,False,-0.000376,312
Clément Turpin | Brazil,-0.00186,0.03887,Clément Turpin,Brazil,1,0,0.0,1.210879,0.0,0.998141,-0.047862,330,False,-0.000366,333
Michael Oliver | Japan,0.001856,0.038857,Michael Oliver,Japan,1,3,3.0,1.742393,1.72177,1.001858,0.047776,331,False,0.000314,398
Juan Carlos Loustau | Spain,-0.001853,0.03887,Juan Carlos Loustau,Spain,1,0,0.0,1.208775,0.0,0.998149,-0.047659,332,False,-0.000382,304
Renato Marsiglia | Belgium,-0.001851,0.038841,Renato Marsiglia,Belgium,1,1,1.0,2.189832,0.456656,0.998151,-0.047645,333,False,-0.000411,272
Eddy Maillet | Honduras,-0.001846,0.038841,Eddy Maillet,Honduras,1,1,1.0,2.183966,0.457883,0.998155,-0.047536,334,False,-0.000348,357
Coffi Codjia | Spain,0.001844,0.038856,Coffi Codjia,Spain,1,3,3.0,1.751309,1.713004,1.001846,0.047458,335,False,0.000311,402
Iván Barton | England,-0.001843,0.03887,Iván Barton,England,1,0,0.0,1.198616,0.0,0.998158,-0.04742,336,False,-0.000401,285
Mohammed Abdulla Hassan Mohamed | Spain,-0.001838,0.038871,Mohammed Abdulla Hassan Mohamed,Spain,1,0,0.0,1.195984,0.0,0.998164,-0.047273,337,False,-0.000386,299
Jair Marrufo | Belgium,-0.001836,0.038871,Jair Marrufo,Belgium,1,0,0.0,1.192442,0.0,0.998166,-0.047226,338,False,-0.000372,319
Jonas Eriksson | United States,-0.001831,0.038871,Jonas Eriksson,United States,1,0,0.0,1.191338,0.0,0.998171,-0.047102,339,False,-0.000367,331
Carlos Vera | Nigeria,-0.001831,0.038871,Carlos Vera,Nigeria,1,0,0.0,1.189212,0.0,0.998171,-0.047096,340,False,-0.000382,303
John Toro Rendón | Denmark,0.001818,0.038856,John Toro Rendón,Denmark,1,3,3.0,1.763278,1.701376,1.00182,0.046789,341,False,0.00036,342
Jorge Larrionda | Australia,0.001815,0.038855,Jorge Larrionda,Australia,1,3,3.0,1.774543,1.690576,1.001817,0.046716,342,False,0.000353,352
Néstor Pitana | Portugal,-0.001814,0.038872,Néstor Pitana,Portugal,1,0,0.0,1.18387,0.0,0.998187,-0.046678,343,False,-0.000332,380
Michael Oliver | Brazil,0.001814,0.038856,Michael Oliver,Brazil,1,3,3.0,1.767832,1.696993,1.001816,0.046688,344,False,0.000316,396
Lim Kee Chong | Romania,0.00181,0.038855,Lim Kee Chong,Romania,1,3,3.0,1.77057,1.69437,1.001811,0.046577,345,False,0.000364,336
Jesús Valenzuela | England,-0.001807,0.038871,Jesús Valenzuela,England,1,0,0.0,1.175492,0.0,0.998195,-0.046481,346,False,-0.000399,289
Pedro Proença | Mexico,0.001804,0.038855,Pedro Proença,Mexico,1,3,3.0,1.773682,1.691397,1.001805,0.046424,347,False,0.000377,309
Luis Medina Cantalejo | Brazil,0.001803,0.038826,Luis Medina Cantalejo,Brazil,1,4,4.0,2.765183,1.446559,1.001805,0.046445,348,False,0.000297,419
Nawaf Shukralla | Ghana,0.001799,0.038856,Nawaf Shukralla,Ghana,1,3,3.0,1.77867,1.686654,1.0018,0.046296,349,False,0.000357,347
Roberto Rosetti | Iran,-0.001796,0.038842,Roberto Rosetti,Iran,1,1,1.0,2.161062,0.462735,0.998205,-0.046251,350,False,-0.000338,374
Olegário Benquerença | Nigeria,0.001791,0.038855,Olegário Benquerença,Nigeria,1,3,3.0,1.784897,1.680769,1.001792,0.046091,351,False,0.000289,430
Said Belqola | Brazil,-0.001777,0.038843,Said Belqola,Brazil,1,1,1.0,2.142455,0.466754,0.998224,-0.045759,352,False,-0.000377,308
Björn Kuipers | Italy,-0.001776,0.038872,Björn Kuipers,Italy,1,0,0.0,1.157862,0.0,0.998226,-0.045679,353,False,-0.000357,349
Shamsul Maidin | Sweden,-0.001775,0.038843,Shamsul Maidin,Sweden,1,1,1.0,2.143604,0.466504,0.998226,-0.045703,354,False,-0.000369,330
Sandro Ricci | Germany,-0.001775,0.038842,Sandro Ricci,Germany,2,1,0.5,2.142057,0.466841,0.998227,-0.045695,355,False,-0.000343,367
Matthew Conger | France,-0.001768,0.038872,Matthew Conger,France,1,0,0.0,1.149657,0.0,0.998234,-0.045477,356,False,-0.000347,362
Javier Castrilli | Saudi Arabia,-0.001756,0.038843,Javier Castrilli,Saudi Arabia,1,1,1.0,2.127517,0.470032,0.998245,-0.04522,357,False,-0.000382,305
Juan Carlos Loustau | Netherlands,0.00175,0.038854,Juan Carlos Loustau,Netherlands,1,3,3.0,1.813183,1.654549,1.001752,0.045046,358,False,0.00041,273
Roberto Rosetti | Ghana,0.00175,0.038854,Roberto Rosetti,Ghana,1,3,3.0,1.815325,1.652597,1.001751,0.045033,359,False,0.000358,345
Marco Rodríguez | Ivory Coast,0.001749,0.038825,Marco Rodríguez,Ivory Coast,1,4,4.0,2.799616,1.428768,1.001751,0.045054,360,False,0.000352,353
Alan Snoddy | Colombia,0.001749,0.038854,Alan Snoddy,Colombia,1,3,3.0,1.811215,1.656347,1.001751,0.045019,361,False,0.000331,382
Elías Jácome | South Korea,0.001746,0.038854,Elías Jácome,South Korea,1,3,3.0,1.815473,1.652462,1.001747,0.044929,362,False,0.000349,354
Milorad Mažić | Argentina,-0.001746,0.038873,Milorad Mažić,Argentina,1,0,0.0,1.137451,0.0,0.998256,-0.044907,363,True,-0.000299,416
George Smith | Austria,0.001745,0.038855,George Smith,Austria,1,3,3.0,1.812982,1.654732,1.001746,0.044908,364,False,0.000354,351
Ravshan Irmatov | Netherlands,0.001744,0.038795,Ravshan Irmatov,Netherlands,2,5,2.5,3.792687,1.318326,1.001745,0.044944,365,False,0.000456,219
Mourad Daami | Mexico,-0.001743,0.038844,Mourad Daami,Mexico,1,1,1.0,2.118901,0.471943,0.998258,-0.044877,366,False,-0.00029,428
Sandro Ricci | Algeria,-0.001739,0.038843,Sandro Ricci,Algeria,1,1,1.0,2.113211,0.473214,0.998263,-0.044765,367,False,-0.000343,366
Victor Gomes | Japan,0.001739,0.038854,Victor Gomes,Japan,1,3,3.0,1.816085,1.651905,1.00174,0.044748,368,False,0.000297,421
Horacio Elizondo | Portugal,-0.001736,0.038813,Horacio Elizondo,Portugal,1,2,2.0,3.109033,0.643287,0.998265,-0.044733,369,False,-0.000293,426
Milorad Mažić | Germany,-0.001735,0.038873,Milorad Mažić,Germany,1,0,0.0,1.130127,0.0,0.998266,-0.044634,370,False,-0.000336,377
Jerome Damon | Denmark,0.001733,0.038854,Jerome Damon,Denmark,1,3,3.0,1.820527,1.647875,1.001734,0.044599,371,False,0.000342,369
Benito Archundia | Uruguay,-0.001731,0.038843,Benito Archundia,Uruguay,1,1,1.0,2.11803,0.472137,0.99827,-0.044565,372,False,-0.000307,406
Esfandiar Baharmast | Nigeria,-0.001728,0.038843,Esfandiar Baharmast,Nigeria,1,1,1.0,2.107816,0.474425,0.998273,-0.044494,373,False,-0.000387,296
Yuichi Nishimura | France,0.001722,0.038854,Yuichi Nishimura,France,1,3,3.0,1.833531,1.636187,1.001724,0.044333,374,False,0.000296,422
Peter Prendergast | Belgium,-0.001714,0.038843,Peter Prendergast,Belgium,1,1,1.0,2.099567,0.476289,0.998288,-0.044124,375,False,-0.000369,329
Markus Merk | Japan,0.001712,0.038853,Markus Merk,Japan,1,3,3.0,1.840553,1.629945,1.001714,0.044072,376,False,0.0003,415
Pierluigi Collina | Germany,-0.001708,0.038843,Pierluigi Collina,Germany,1,1,1.0,2.101541,0.475841,0.998293,-0.043978,377,False,-0.000322,391
Frank De Bleeckere | Paraguay,-0.001707,0.038844,Frank De Bleeckere,Paraguay,1,1,1.0,2.101003,0.475963,0.998295,-0.043934,378,False,-0.000329,384
Néstor Pitana | Switzerland,-0.001701,0.038874,Néstor Pitana,Switzerland,1,0,0.0,1.109093,0.0,0.998301,-0.043751,379,False,-0.000311,401
Markus Merk | United States,-0.001699,0.038844,Markus Merk,United States,1,1,1.0,2.097404,0.47678,0.998302,-0.043741,380,False,-0.000347,361
Malang Diedhiou | Japan,-0.001695,0.038844,Malang Diedhiou,Japan,1,1,1.0,2.086818,0.479199,0.998306,-0.043648,381,False,-0.000364,337
