pair,pair_effect_mean,pair_effect_sd,referee,team,n_matches,yellows_total,yellows_mean,expected_nonpair,oe_ratio_raw,rate_ratio_shrunk,z,abs_rank,is_argentina,pair_effect_mean_2vc,abs_rank_2vc
Michael Oliver | Croatia,-0.000999,0.038829,Michael Oliver,Croatia,1,2,2.0,2.615937,0.764544,0.999001,-0.025734,605,False,-0.000204,588
Vítor Melo Pereira | Denmark,-0.000997,0.038829,Vítor Melo Pereira,Denmark,1,2,2.0,2.620376,0.763249,0.999004,-0.025672,606,False,-0.000181,633
Joël Quiniou | Russia,0.000992,0.038839,Joël Quiniou,Russia,1,3,3.0,2.310068,1.298663,1.000992,0.025538,607,False,0.000222,546
Mark Shield | Belgium,-0.000991,0.038858,Mark Shield,Belgium,1,1,1.0,1.630306,0.613382,0.99901,-0.025494,608,False,-0.000223,544
Shizuo Takada | United Arab Emirates,0.000984,0.038839,Shizuo Takada,United Arab Emirates,1,3,3.0,2.303019,1.302638,1.000985,0.025347,609,False,0.000187,624
Néstor Pitana | France,-0.000982,0.038769,Néstor Pitana,France,3,4,1.333333,4.586483,0.872128,0.999018,-0.025341,610,False,-0.000236,520
José María García-Aranda | Brazil,0.00098,0.038868,José María García-Aranda,Brazil,1,2,2.0,1.330242,1.503486,1.000981,0.025222,611,False,0.000173,650
Néstor Pitana | Russia,-0.000971,0.038829,Néstor Pitana,Russia,2,2,1.0,2.603446,0.768213,0.99903,-0.024998,612,False,-0.000145,694
Juan Daniel Cardellino | Romania,-0.00097,0.038859,Juan Daniel Cardellino,Romania,1,1,1.0,1.615356,0.619059,0.99903,-0.024966,613,False,-0.000168,658
Toru Kamikawa | Ecuador,-0.000963,0.038829,Toru Kamikawa,Ecuador,1,2,2.0,2.600345,0.769129,0.999037,-0.024811,614,False,-0.000194,610
Benito Archundia | Germany,0.000963,0.038778,Benito Archundia,Germany,2,5,2.5,4.305452,1.161318,1.000963,0.024833,615,False,0.000185,625
Benito Archundia | South Korea,-0.000962,0.038829,Benito Archundia,South Korea,1,2,2.0,2.60689,0.767198,0.999038,-0.024782,616,False,-0.000158,670
Carlos Simon | Mexico,-0.000962,0.038829,Carlos Simon,Mexico,1,2,2.0,2.605466,0.767617,0.999038,-0.024777,617,False,-0.000125,742
Günter Benkö | Japan,-0.000962,0.038859,Günter Benkö,Japan,1,1,1.0,1.608777,0.62159,0.999039,-0.024745,618,False,-0.000211,573
Héctor Baldassi | Spain,-0.000959,0.038859,Héctor Baldassi,Spain,1,1,1.0,1.608921,0.621534,0.999041,-0.024691,619,False,-0.000232,528
Damir Skomina | Colombia,0.000958,0.038868,Damir Skomina,Colombia,1,2,2.0,1.342733,1.489499,1.000958,0.024639,620,False,0.000194,609
Jamal Al Sharif | Colombia,0.000957,0.038839,Jamal Al Sharif,Colombia,1,3,3.0,2.330327,1.287373,1.000958,0.024647,621,False,0.000166,660
Facundo Tello | Switzerland,0.000957,0.038868,Facundo Tello,Switzerland,1,2,2.0,1.343499,1.48865,1.000958,0.024625,622,False,0.0002,595
Hugh Dallas | Poland,-0.000957,0.038829,Hugh Dallas,Poland,1,2,2.0,2.594044,0.770997,0.999044,-0.024643,623,False,-0.000163,661
Bernd Heynemann | Norway,0.000956,0.038839,Bernd Heynemann,Norway,1,3,3.0,2.322871,1.291505,1.000956,0.024603,624,False,0.000179,637
Jamal Al Sharif | Russia,0.000954,0.038839,Jamal Al Sharif,Russia,1,3,3.0,2.331315,1.286828,1.000955,0.024571,625,False,0.000199,598
Epifanio González | Germany,0.000953,0.038868,Epifanio González,Germany,1,2,2.0,1.347433,1.484304,1.000954,0.024527,626,False,0.00018,634
Clément Turpin | Senegal,-0.000953,0.038858,Clément Turpin,Senegal,1,1,1.0,1.604899,0.623092,0.999047,-0.024532,627,False,-0.000175,646
Jorge Larrionda | England,-0.000953,0.038858,Jorge Larrionda,England,1,1,1.0,1.608937,0.621528,0.999047,-0.024524,628,False,-0.000261,479
Falla N'Doye | Republic of Ireland,-0.000953,0.038859,Falla N'Doye,Republic of Ireland,1,1,1.0,1.600729,0.624715,0.999048,-0.024512,629,False,-0.000206,585
Siegfried Kirschen | Uruguay,-0.000945,0.03886,Siegfried Kirschen,Uruguay,1,1,1.0,1.601962,0.624235,0.999055,-0.024323,630,False,-0.000163,662
Joel Aguilar | Bosnia and Herzegovina,-0.000944,0.038859,Joel Aguilar,Bosnia and Herzegovina,1,1,1.0,1.594102,0.627312,0.999057,-0.024284,631,False,-0.000192,616
Wolfgang Stark | Slovenia,0.000943,0.038838,Wolfgang Stark,Slovenia,1,3,3.0,2.333671,1.285528,1.000943,0.024279,632,False,0.000216,558
Felipe Ramos | France,-0.000942,0.038859,Felipe Ramos,France,1,1,1.0,1.598225,0.625694,0.999059,-0.02423,633,False,-0.00019,619
Leslie Mottram | South Korea,0.00094,0.038838,Leslie Mottram,South Korea,1,3,3.0,2.337719,1.283302,1.000941,0.02421,634,False,0.000194,611
Fabio Baldas | Colombia,-0.000938,0.038859,Fabio Baldas,Colombia,1,1,1.0,1.590448,0.628754,0.999063,-0.024129,635,False,-0.000168,657
Djamel Haimoudi | Costa Rica,-0.00093,0.03886,Djamel Haimoudi,Costa Rica,1,1,1.0,1.589049,0.629307,0.99907,-0.023939,636,False,-0.000177,642
Marco Rodríguez | Italy,0.000928,0.038867,Marco Rodríguez,Italy,1,2,2.0,1.366361,1.463742,1.000929,0.023879,637,False,0.000149,688
Ismail Elfath | Portugal,0.000919,0.038868,Ismail Elfath,Portugal,1,2,2.0,1.368398,1.461563,1.000919,0.023634,638,False,0.000192,614
Héctor Baldassi | Netherlands,-0.000918,0.03886,Héctor Baldassi,Netherlands,1,1,1.0,1.584196,0.631235,0.999082,-0.023636,639,False,-0.00012,755
Michel Vautrot | Italy,-0.000911,0.03886,Michel Vautrot,Italy,1,1,1.0,1.580214,0.632826,0.999089,-0.023449,640,False,-0.000202,591
Eddie Lennie | Italy,0.00091,0.038867,Eddie Lennie,Italy,1,2,2.0,1.374334,1.45525,1.00091,0.023401,641,False,0.000153,681
José Torres Cadena | Sweden,-0.000909,0.03883,José Torres Cadena,Sweden,1,2,2.0,2.562269,0.780558,0.999091,-0.023408,642,False,-0.000199,597
Stéphane Lannoy | Brazil,0.000907,0.038867,Stéphane Lannoy,Brazil,1,2,2.0,1.376343,1.453126,1.000908,0.023346,643,False,0.000151,686
Toru Kamikawa | England,-0.000897,0.03886,Toru Kamikawa,England,1,1,1.0,1.5705,0.63674,0.999104,-0.023076,644,False,-0.00024,513
Francisco Oscar Lamolina | Mexico,0.000895,0.038837,Francisco Oscar Lamolina,Mexico,1,3,3.0,2.367551,1.267132,1.000896,0.02305,645,False,0.000221,548
Enrique Osses | Costa Rica,-0.000892,0.038861,Enrique Osses,Costa Rica,1,1,1.0,1.561904,0.640244,0.999108,-0.022952,646,False,-0.000169,655
Joël Quiniou | Argentina,0.000892,0.038837,Joël Quiniou,Argentina,1,3,3.0,2.382052,1.259418,1.000892,0.022956,647,True,0.000238,517
Ľuboš Micheľ | Germany,-0.000886,0.038801,Ľuboš Micheľ,Germany,1,3,3.0,3.544049,0.846489,0.999115,-0.022824,648,False,-0.000214,565
Pierluigi Collina | Turkey,0.000885,0.038837,Pierluigi Collina,Turkey,1,3,3.0,2.373978,1.263701,1.000886,0.022795,649,False,0.000211,572
Neji Jouini | Romania,0.000883,0.038837,Neji Jouini,Romania,1,3,3.0,2.375514,1.262885,1.000884,0.022743,650,False,0.000178,640
Roberto Rosetti | Trinidad and Tobago,-0.000883,0.03883,Roberto Rosetti,Trinidad and Tobago,1,2,2.0,2.545928,0.785568,0.999118,-0.022737,651,False,-0.000162,665
Roberto Rosetti | France,0.000882,0.038836,Roberto Rosetti,France,1,3,3.0,2.382533,1.259164,1.000882,0.022712,652,False,0.000141,700
Nikolai Levnikov | Brazil,0.000877,0.038866,Nikolai Levnikov,Brazil,1,2,2.0,1.394513,1.434192,1.000878,0.022571,653,False,0.000152,683
Frank De Bleeckere | Ecuador,-0.000877,0.038801,Frank De Bleeckere,Ecuador,1,3,3.0,3.532926,0.849155,0.999123,-0.022605,654,False,-0.000184,628
Philip Don | Sweden,0.000874,0.038837,Philip Don,Sweden,1,3,3.0,2.379606,1.260713,1.000874,0.022493,655,False,0.000143,698
Arturo Brizio Carter | Saudi Arabia,-0.000867,0.038831,Arturo Brizio Carter,Saudi Arabia,1,2,2.0,2.539112,0.787677,0.999133,-0.022336,656,False,-0.000225,537
Joel Aguilar | Sweden,-0.000867,0.038861,Joel Aguilar,Sweden,1,1,1.0,1.547655,0.646139,0.999134,-0.022305,657,False,-0.000183,630
Ian McLeod | Spain,0.000866,0.038866,Ian McLeod,Spain,1,2,2.0,1.401826,1.42671,1.000866,0.022271,658,False,0.000129,731
Anthony Taylor | South Korea,0.000865,0.038866,Anthony Taylor,South Korea,1,2,2.0,1.402268,1.426261,1.000866,0.022267,659,False,0.000179,639
Arturo Brizio Carter | Colombia,0.000864,0.038837,Arturo Brizio Carter,Colombia,1,3,3.0,2.393675,1.253303,1.000864,0.022248,660,False,0.000154,678
Mohamed Guezzaz | Spain,-0.000863,0.038861,Mohamed Guezzaz,Spain,1,1,1.0,1.544101,0.647626,0.999138,-0.022197,661,False,-0.000202,593
Edgardo Codesal | West Germany,-0.000862,0.038861,Edgardo Codesal,West Germany,1,1,1.0,1.54531,0.647119,0.999138,-0.022194,662,False,-0.000163,663
Enrique Osses | Ivory Coast,0.000856,0.038866,Enrique Osses,Ivory Coast,1,2,2.0,1.406755,1.421711,1.000856,0.022016,663,False,0.00017,654
Roberto Rosetti | Australia,-0.000855,0.038861,Roberto Rosetti,Australia,1,1,1.0,1.544314,0.647537,0.999145,-0.02201,664,False,-0.00016,667
Ľuboš Micheľ | Brazil,-0.000851,0.038832,Ľuboš Micheľ,Brazil,1,2,2.0,2.530684,0.7903,0.999149,-0.021926,665,False,-0.000211,571
Daniele Orsato | Argentina,-0.000847,0.038802,Daniele Orsato,Argentina,2,3,1.5,3.504457,0.856053,0.999153,-0.021841,666,True,-7.4e-05,860
Kurt Röthlisberger | Czechoslovakia,0.000846,0.038866,Kurt Röthlisberger,Czechoslovakia,1,2,2.0,1.418611,1.409829,1.000847,0.021779,667,False,0.000195,607
Peter Mikkelsen | Spain,0.000846,0.038865,Peter Mikkelsen,Spain,1,2,2.0,1.418939,1.409503,1.000846,0.021755,668,False,0.000133,723
Szymon Marciniak | Australia,-0.000845,0.038831,Szymon Marciniak,Australia,1,2,2.0,2.516563,0.794735,0.999155,-0.02176,669,False,-0.000169,656
Paul Durkin | Italy,-0.000838,0.038861,Paul Durkin,Italy,1,1,1.0,1.528002,0.654449,0.999162,-0.021569,670,False,-0.000187,623
Fernando Rapallini | Spain,-0.000829,0.038862,Fernando Rapallini,Spain,1,1,1.0,1.522602,0.656771,0.999171,-0.021331,671,False,-0.000205,586
Gamal Al-Ghandour | Brazil,0.000824,0.038806,Gamal Al-Ghandour,Brazil,2,4,2.0,3.405827,1.174458,1.000824,0.021237,672,False,0.00012,757
Lucien Bouchardeau | Chile,0.000823,0.038836,Lucien Bouchardeau,Chile,1,3,3.0,2.409773,1.24493,1.000823,0.02119,673,False,0.000215,561
José Torres Cadena | Morocco,0.000823,0.038836,José Torres Cadena,Morocco,1,3,3.0,2.416875,1.241272,1.000823,0.021188,674,False,0.000143,696
Ubaldo Aquino | Senegal,-0.00082,0.038832,Ubaldo Aquino,Senegal,1,2,2.0,2.498119,0.800602,0.99918,-0.021118,675,False,-0.000134,718
Óscar Ruiz | Senegal,-0.000815,0.038832,Óscar Ruiz,Senegal,1,2,2.0,2.502147,0.799314,0.999185,-0.020991,676,False,-0.000145,695
Helmut Kohl | Spain,0.000815,0.038865,Helmut Kohl,Spain,1,2,2.0,1.440624,1.388288,1.000815,0.020965,677,False,0.000114,772
Mark Geiger | Portugal,-0.000813,0.038862,Mark Geiger,Portugal,1,1,1.0,1.515755,0.659737,0.999187,-0.020927,678,False,-0.000131,727
Néstor Pitana | Saudi Arabia,-0.000811,0.038861,Néstor Pitana,Saudi Arabia,1,1,1.0,1.513924,0.660535,0.99919,-0.020861,679,False,-0.000177,643
Marco Rodríguez | Uruguay,0.000809,0.038865,Marco Rodríguez,Uruguay,1,2,2.0,1.443183,1.385826,1.00081,0.020823,680,False,0.000168,659
Óscar Ruiz | Turkey,0.000809,0.038776,Óscar Ruiz,Turkey,2,5,2.5,4.394235,1.137854,1.00081,0.020869,681,False,0.000213,569
Djamel Haimoudi | United States,-0.000809,0.038862,Djamel Haimoudi,United States,1,1,1.0,1.509704,0.662382,0.999192,-0.020807,682,False,-0.000173,652
Éric Poulat | Portugal,0.000806,0.038835,Éric Poulat,Portugal,1,3,3.0,2.427615,1.235781,1.000807,0.020761,683,False,0.000188,622
Massimo Busacca | Ukraine,-0.000799,0.038832,Massimo Busacca,Ukraine,1,2,2.0,2.490644,0.803005,0.999201,-0.020574,684,False,-0.000151,685
Cüneyt Çakır | Argentina,0.000794,0.038806,Cüneyt Çakır,Argentina,2,4,2.0,3.422016,1.168902,1.000795,0.020467,685,True,0.000246,499
Szymon Marciniak | France,0.000785,0.038805,Szymon Marciniak,France,2,4,2.0,3.42429,1.168125,1.000785,0.020222,686,False,9.4e-05,812
Pablo Pozo | Cameroon,-0.000782,0.038833,Pablo Pozo,Cameroon,1,2,2.0,2.475942,0.807773,0.999218,-0.020138,687,False,-0.000157,672
Rune Pedersen | Croatia,-0.00078,0.038833,Rune Pedersen,Croatia,1,2,2.0,2.47361,0.808535,0.99922,-0.020083,688,False,-0.00015,687
Luis Medina Cantalejo | Germany,0.000774,0.038835,Luis Medina Cantalejo,Germany,1,3,3.0,2.455726,1.221635,1.000774,0.019934,689,False,0.000131,725
Frank De Bleeckere | Croatia,-0.000773,0.038833,Frank De Bleeckere,Croatia,1,2,2.0,2.483244,0.805398,0.999227,-0.019912,690,False,-0.000137,712
Damir Skomina | Belgium,0.000772,0.038864,Damir Skomina,Belgium,1,2,2.0,1.464698,1.365469,1.000772,0.019855,691,False,0.000121,753
Gianluca Rocchi | Spain,-0.000771,0.038863,Gianluca Rocchi,Spain,1,1,1.0,1.486089,0.672907,0.999229,-0.019849,692,False,-0.00019,620
Joël Quiniou | Brazil,0.000769,0.038805,Joël Quiniou,Brazil,2,4,2.0,3.444829,1.161161,1.000769,0.019817,693,False,0.00011,780
Óscar Ruiz | France,-0.000768,0.038863,Óscar Ruiz,France,1,1,1.0,1.487928,0.672076,0.999232,-0.019765,694,False,-0.000173,649
Wilmar Roldán | Egypt,0.000764,0.038864,Wilmar Roldán,Egypt,1,2,2.0,1.466533,1.363761,1.000764,0.019654,695,False,0.000148,689
Roberto Rosetti | Serbia and Montenegro,0.000761,0.038834,Roberto Rosetti,Serbia and Montenegro,1,3,3.0,2.4593,1.219859,1.000761,0.019599,696,False,0.000182,632
Markus Merk | Netherlands,-0.000759,0.038833,Markus Merk,Netherlands,1,2,2.0,2.471759,0.80914,0.999241,-0.019553,697,False,-5.7e-05,901
Rodrigo Badilla | Spain,0.000759,0.038863,Rodrigo Badilla,Spain,1,2,2.0,1.473948,1.3569,1.00076,0.019536,698,False,0.000112,777
Khalil Al Ghamdi | Switzerland,0.000759,0.038835,Khalil Al Ghamdi,Switzerland,1,3,3.0,2.456501,1.221249,1.000759,0.01954,699,False,0.000141,701
Bakary Gassama | Peru,-0.000757,0.038863,Bakary Gassama,Peru,1,1,1.0,1.474134,0.678364,0.999243,-0.019485,700,False,-0.000137,713
Stéphane Lannoy | Ivory Coast,0.000755,0.038834,Stéphane Lannoy,Ivory Coast,1,3,3.0,2.45388,1.222554,1.000755,0.019443,701,False,0.000139,707
Mohamed Guezzaz | Slovenia,-0.000754,0.038833,Mohamed Guezzaz,Slovenia,1,2,2.0,2.452827,0.815386,0.999247,-0.019405,702,False,-9.4e-05,811
Gamal Al-Ghandour | Denmark,0.00075,0.038834,Gamal Al-Ghandour,Denmark,1,3,3.0,2.463946,1.217559,1.00075,0.019312,703,False,0.000163,664
Jesús Valenzuela | France,-0.000745,0.038863,Jesús Valenzuela,France,1,1,1.0,1.466908,0.681706,0.999255,-0.019171,704,False,-0.000153,682
Pierluigi Collina | France,0.000742,0.038863,Pierluigi Collina,France,1,2,2.0,1.48715,1.344854,1.000743,0.019103,705,False,0.000129,733
Alberto Tejada Noriega | Yugoslavia,0.00074,0.038863,Alberto Tejada Noriega,Yugoslavia,1,2,2.0,1.483787,1.347903,1.000741,0.019048,706,False,0.000155,676
Erik Fredriksson | Soviet Union,-0.00074,0.038864,Erik Fredriksson,Soviet Union,1,1,1.0,1.463724,0.683189,0.999261,-0.019034,707,False,-0.000142,699
Néstor Pitana | Sweden,0.000738,0.038863,Néstor Pitana,Sweden,1,2,2.0,1.490877,1.341492,1.000738,0.018988,708,False,0.000128,735
Juan Daniel Cardellino | Soviet Union,-0.000737,0.038863,Juan Daniel Cardellino,Soviet Union,1,1,1.0,1.461701,0.684135,0.999263,-0.01896,709,False,-0.000137,711
Matthew Conger | Nigeria,-0.000736,0.038863,Matthew Conger,Nigeria,1,1,1.0,1.460993,0.684466,0.999264,-0.018944,710,False,-0.000171,653
Alireza Faghani | Germany,0.000736,0.038864,Alireza Faghani,Germany,1,2,2.0,1.491807,1.340656,1.000736,0.018934,711,False,0.000134,716
Wilmar Roldán | Cameroon,-0.000732,0.038863,Wilmar Roldán,Cameroon,1,1,1.0,1.459318,0.685252,0.999268,-0.018831,712,False,-0.000133,721
Milorad Mažić | Brazil,0.000732,0.038863,Milorad Mažić,Brazil,1,2,2.0,1.490797,1.341564,1.000732,0.01883,713,False,0.000126,738
Carlos Batres | Senegal,-0.000731,0.038834,Carlos Batres,Senegal,1,2,2.0,2.448552,0.816809,0.999269,-0.018835,714,False,-0.000129,730
Mohammed Abdulla Hassan Mohamed | France,0.000731,0.038863,Mohammed Abdulla Hassan Mohamed,France,1,2,2.0,1.491925,1.34055,1.000731,0.018806,715,False,0.000123,748
Felix Brych | Russia,-0.000729,0.038864,Felix Brych,Russia,1,1,1.0,1.456675,0.686495,0.999272,-0.018751,716,False,-0.000129,729
Brian Hall | Italy,-0.000724,0.038863,Brian Hall,Italy,1,1,1.0,1.454753,0.687402,0.999276,-0.018627,717,False,-0.000146,692
Luis Medina Cantalejo | Australia,-0.000723,0.038804,Luis Medina Cantalejo,Australia,1,3,3.0,3.429865,0.87467,0.999277,-0.018632,718,False,-0.000138,710
Said Belqola | United States,-0.000722,0.038834,Said Belqola,United States,1,2,2.0,2.44023,0.819595,0.999278,-0.018596,719,False,-0.000182,631
Djamel Haimoudi | Belgium,-0.000722,0.038864,Djamel Haimoudi,Belgium,1,1,1.0,1.452875,0.68829,0.999278,-0.018579,720,False,-0.000177,644
Benito Archundia | Croatia,0.000719,0.038833,Benito Archundia,Croatia,1,3,3.0,2.492771,1.20348,1.000719,0.018506,721,False,0.000151,684
Arturo Angeles | Greece,-0.000712,0.038834,Arturo Angeles,Greece,1,2,2.0,2.425889,0.82444,0.999288,-0.018339,722,False,-0.000122,749
Nicola Rizzoli | Germany,0.000711,0.038863,Nicola Rizzoli,Germany,1,2,2.0,1.502965,1.330703,1.000711,0.018297,723,False,0.000126,737
Andrés Matonte | Croatia,0.000702,0.038863,Andrés Matonte,Croatia,1,2,2.0,1.50824,1.326049,1.000702,0.018064,724,False,0.000136,714
Essam Abd El Fatah | Japan,0.000691,0.038833,Essam Abd El Fatah,Japan,1,3,3.0,2.499969,1.200015,1.000691,0.017787,725,False,8.4e-05,835
Siegfried Kirschen | Belgium,0.000691,0.038862,Siegfried Kirschen,Belgium,1,2,2.0,1.520269,1.315557,1.000691,0.01777,726,False,9.3e-05,814
Valentin Ivanov | France,0.00069,0.038833,Valentin Ivanov,France,1,3,3.0,2.508329,1.196015,1.00069,0.017767,727,False,8.1e-05,842
Ángel Sánchez | South Africa,-0.000686,0.038835,Ángel Sánchez,South Africa,1,2,2.0,2.412178,0.829126,0.999314,-0.01767,728,False,-0.000141,704
Masayoshi Okada | Tunisia,0.000685,0.038833,Masayoshi Okada,Tunisia,1,3,3.0,2.498494,1.200723,1.000686,0.017651,729,False,0.000154,680
Malang Diedhiou | Uruguay,-0.000685,0.038865,Malang Diedhiou,Uruguay,1,1,1.0,1.429515,0.699538,0.999315,-0.017628,730,False,-0.000111,779
Mark Geiger | Greece,0.000685,0.038862,Mark Geiger,Greece,1,2,2.0,1.521999,1.314061,1.000685,0.017617,731,False,0.00014,705
Ravshan Irmatov | South Africa,-0.000683,0.038835,Ravshan Irmatov,South Africa,1,2,2.0,2.419623,0.826575,0.999317,-0.01759,732,False,-0.000156,675
Sandro Ricci | France,0.000682,0.038832,Sandro Ricci,France,2,3,1.5,2.510821,1.194828,1.000682,0.017557,733,False,0.000101,793
Milorad Mažić | Portugal,-0.000679,0.038864,Milorad Mažić,Portugal,1,1,1.0,1.425807,0.701357,0.999321,-0.017465,734,False,-0.000116,765
Ravshan Irmatov | Switzerland,-0.000678,0.038865,Ravshan Irmatov,Switzerland,1,1,1.0,1.430318,0.699145,0.999322,-0.01744,735,False,-0.000122,750
Luigi Agnolin | Yugoslavia,-0.000678,0.038864,Luigi Agnolin,Yugoslavia,1,1,1.0,1.424152,0.702172,0.999322,-0.017439,736,False,-0.000114,771
Nicola Rizzoli | Nigeria,0.000676,0.038862,Nicola Rizzoli,Nigeria,1,2,2.0,1.526131,1.310503,1.000676,0.017397,737,False,7.7e-05,854
Kim Milton Nielsen | Turkey,-0.000675,0.038835,Kim Milton Nielsen,Turkey,1,2,2.0,2.407742,0.830654,0.999325,-0.01738,738,False,-8.7e-05,827
Néstor Pitana | Honduras,-0.000675,0.038865,Néstor Pitana,Honduras,1,1,1.0,1.423937,0.702278,0.999326,-0.017359,739,False,-0.000119,759
José Roberto Wright | England,0.000674,0.038862,José Roberto Wright,England,1,2,2.0,1.531226,1.306143,1.000675,0.017356,740,False,6.1e-05,889
Bakary Gassama | Chile,-0.000673,0.038865,Bakary Gassama,Chile,1,1,1.0,1.42011,0.704171,0.999327,-0.017326,741,False,-9.3e-05,816
Danny Makkelie | Argentina,-0.000667,0.038865,Danny Makkelie,Argentina,1,1,1.0,1.416688,0.705872,0.999334,-0.017152,742,True,-8.4e-05,837
Mario van der Ende | United States,-0.000661,0.038835,Mario van der Ende,United States,1,2,2.0,2.40313,0.832248,0.999339,-0.01703,743,False,-0.000155,677
César Arturo Ramos | Poland,0.000658,0.038861,César Arturo Ramos,Poland,1,2,2.0,1.54099,1.297867,1.000658,0.016929,744,False,0.000146,691
Daniele Orsato | Croatia,-0.000653,0.038836,Daniele Orsato,Croatia,1,2,2.0,2.390618,0.836604,0.999347,-0.016815,745,False,-0.000141,703
Carlos Velasco Carballo | Iran,-0.000651,0.038865,Carlos Velasco Carballo,Iran,1,1,1.0,1.40545,0.711516,0.999349,-0.016749,746,False,-0.000124,744
Rodrigo Badilla | Netherlands,-0.00065,0.038835,Rodrigo Badilla,Netherlands,1,2,2.0,2.391399,0.83633,0.99935,-0.016732,747,False,-2.8e-05,978
Mario van der Ende | Bulgaria,-0.000649,0.038835,Mario van der Ende,Bulgaria,1,2,2.0,2.393404,0.83563,0.999351,-0.016711,748,False,-8.4e-05,836
Ravshan Irmatov | United States,0.000648,0.038862,Ravshan Irmatov,United States,1,2,2.0,1.550392,1.289996,1.000649,0.016686,749,False,9.4e-05,810
Mohammed Abdulla Hassan Mohamed | Serbia,0.000638,0.038862,Mohammed Abdulla Hassan Mohamed,Serbia,1,2,2.0,1.549769,1.290515,1.000638,0.016405,750,False,0.000185,626
Shamsul Maidin | Trinidad and Tobago,-0.000637,0.038806,Shamsul Maidin,Trinidad and Tobago,1,3,3.0,3.366896,0.891028,0.999363,-0.016424,751,False,-0.000134,719
Daniel Siebert | Ghana,-0.000637,0.038836,Daniel Siebert,Ghana,1,2,2.0,2.378582,0.840837,0.999363,-0.016396,752,False,-0.000109,785
Milorad Mažić | Iran,0.00063,0.038861,Milorad Mažić,Iran,1,2,2.0,1.556174,1.285203,1.000631,0.016221,753,False,0.000116,766
Nikolai Levnikov | Morocco,-0.00063,0.038836,Nikolai Levnikov,Morocco,1,2,2.0,2.372648,0.84294,0.99937,-0.016228,754,False,-0.000143,697
Frank De Bleeckere | United States,0.00063,0.038861,Frank De Bleeckere,United States,1,2,2.0,1.561909,1.280484,1.00063,0.016206,755,False,0.000104,788
Ravshan Irmatov | Ecuador,-0.000627,0.038866,Ravshan Irmatov,Ecuador,1,1,1.0,1.396127,0.716267,0.999373,-0.016127,756,False,-0.000134,720
Björn Kuipers | Colombia,-0.000622,0.038865,Björn Kuipers,Colombia,1,1,1.0,1.389075,0.719903,0.999378,-0.016015,757,False,-0.000113,775
Arturo Brizio Carter | England,0.00062,0.038861,Arturo Brizio Carter,England,1,2,2.0,1.568696,1.274945,1.00062,0.015956,758,False,4e-05,946
Carlos Velasco Carballo | Uruguay,-0.000619,0.038866,Carlos Velasco Carballo,Uruguay,1,1,1.0,1.385572,0.721724,0.999381,-0.015928,759,False,-0.000104,789
Gianluca Rocchi | Brazil,0.000612,0.038861,Gianluca Rocchi,Brazil,1,2,2.0,1.567865,1.27562,1.000612,0.015741,760,False,9.9e-05,797
Mark Geiger | France,-0.000608,0.038866,Mark Geiger,France,1,1,1.0,1.380486,0.724382,0.999393,-0.015632,761,False,-0.000134,717
Milorad Mažić | Colombia,-0.000604,0.038866,Milorad Mažić,Colombia,1,1,1.0,1.3773,0.726058,0.999397,-0.01553,762,False,-0.000109,784
Arturo Brizio Carter | France,0.000604,0.038861,Arturo Brizio Carter,France,1,2,2.0,1.578943,1.26667,1.000604,0.01553,763,False,9.7e-05,803
Manuel Díaz Vega | Saudi Arabia,0.000602,0.038831,Manuel Díaz Vega,Saudi Arabia,1,3,3.0,2.553011,1.175083,1.000603,0.015515,764,False,6.1e-05,891
Hugh Dallas | Germany,-0.000602,0.038837,Hugh Dallas,Germany,1,2,2.0,2.364403,0.845879,0.999398,-0.0155,765,False,-0.000119,758
Alan Snoddy | West Germany,-0.0006,0.038867,Alan Snoddy,West Germany,1,1,1.0,1.373261,0.728194,0.9994,-0.01545,766,False,-0.000117,763
Daniele Orsato | Ecuador,0.000598,0.038861,Daniele Orsato,Ecuador,1,2,2.0,1.577458,1.267862,1.000598,0.015379,767,False,9.9e-05,801
Leslie Mottram | Greece,-0.000595,0.038837,Leslie Mottram,Greece,1,2,2.0,2.35175,0.850431,0.999406,-0.01531,768,False,-9.9e-05,798
Coffi Codjia | Ecuador,0.000594,0.038831,Coffi Codjia,Ecuador,1,3,3.0,2.565661,1.169289,1.000594,0.015292,769,False,0.000104,787
Gamal Al-Ghandour | Yugoslavia,0.000593,0.038861,Gamal Al-Ghandour,Yugoslavia,1,2,2.0,1.582964,1.263453,1.000593,0.015265,770,False,0.000129,732
Danny Makkelie | Spain,-0.00059,0.038866,Danny Makkelie,Spain,1,1,1.0,1.366383,0.731859,0.99941,-0.015174,771,False,-0.000154,679
Horacio Elizondo | England,-0.00059,0.038836,Horacio Elizondo,England,1,2,2.0,2.358478,0.848005,0.999411,-0.015182,772,False,-0.000224,540
Anthony Taylor | Belgium,-0.000589,0.038866,Anthony Taylor,Belgium,1,1,1.0,1.36609,0.732016,0.999411,-0.015166,773,False,-0.000146,693
Noumandiez Doué | Ecuador,-0.000584,0.038866,Noumandiez Doué,Ecuador,1,1,1.0,1.361386,0.734546,0.999416,-0.015034,774,False,-0.00012,754
Sergei Karasev | Peru,0.000582,0.038861,Sergei Karasev,Peru,1,2,2.0,1.583181,1.263279,1.000582,0.014969,775,False,0.000118,761
Pablo Pozo | Portugal,0.000576,0.038861,Pablo Pozo,Portugal,1,2,2.0,1.590502,1.257465,1.000576,0.014825,776,False,0.000126,740
