era,team_name,matches,wins,draws,losses,goals_for,goals_against,yellows_received,dismissals_received,pen_goals_for,yellows_drawn,dismissals_drawn,pen_goals_against
1990-2018,Spain,35,20,6,9,62,38,50,1,10,85,4,3
1990-2018,Sweden,23,9,6,8,32,27,42,3,4,44,5,2
1990-2018,Switzerland,19,7,5,7,22,20,40,2,0,47,1,1
1990-2018,Togo,3,0,0,3,1,6,10,1,0,4,0,0
1990-2018,Trinidad and Tobago,3,0,1,2,0,4,10,1,0,4,0,0
1990-2018,Tunisia,12,1,3,8,10,23,33,1,2,15,0,4
1990-2018,Turkey,7,4,1,2,10,6,19,2,0,10,1,1
1990-2018,Ukraine,5,3,0,2,5,7,12,1,1,8,1,1
1990-2018,United Arab Emirates,3,0,0,3,2,11,8,1,0,4,0,0
1990-2018,United States,26,5,6,15,25,41,52,4,1,63,5,2
1990-2018,Uruguay,23,11,4,8,28,27,41,3,3,50,6,1
1990-2018,West Germany,7,6,1,0,15,5,8,1,2,18,4,1
1990-2018,Yugoslavia,9,5,1,3,13,10,16,1,0,12,1,0
2022,Argentina,7,6,0,1,15,8,17,0,4,26,1,2
2022,Australia,4,2,0,2,4,6,7,0,0,4,0,0
2022,Belgium,3,1,1,1,1,2,5,0,0,3,0,0
2022,Brazil,5,3,0,2,8,3,6,0,1,12,1,0
2022,Cameroon,3,1,1,1,4,4,8,1,0,6,0,0
2022,Canada,3,0,0,3,2,7,8,0,0,5,0,0
2022,Costa Rica,3,1,0,2,3,11,6,0,0,3,0,1
2022,Croatia,7,4,2,1,8,7,8,0,0,11,0,1
2022,Denmark,3,0,1,2,1,3,5,0,0,4,0,0
2022,Ecuador,3,1,1,1,4,3,3,0,1,5,0,1
2022,England,5,3,1,1,13,4,1,0,1,8,0,1
2022,France,7,5,0,2,16,8,8,0,2,15,0,3
2022,Germany,3,1,1,1,6,5,3,0,1,2,0,0
2022,Ghana,3,1,0,2,5,7,8,0,0,9,0,1
