official,matches,wins,draws,losses,card_net,roles,years,ref_matches,win_pct,card_net_pm
Luigi Agnolin,1,1,0,0,1,referee,1986,1,100,1.0
Luis Barrancos,1,1,0,0,1,referee,1982,1,100,1.0
Lyes Arfa,1,1,0,0,0,assistant2,2026,0,100,0.0
Mahmoud Abouregal,1,1,0,0,0,assistant1,2026,0,100,0.0
Mahmoud Ashour,1,1,0,0,0,avar1,2026,0,100,0.0
Marc Van den Broeck,1,1,0,0,3,assistant1,1998,0,100,3.0
Marco Fritz,1,1,0,0,2,avar1,2022,0,100,2.0
Mario Escobar,1,1,0,0,2,fourth_official,2022,0,100,2.0
Markus Merk,1,1,0,0,-1,fourth_official,2002,0,100,-1.0
Mathias Klasenius,1,1,0,0,-1,assistant1,2014,0,100,-1.0
Matthias Arnet,1,1,0,0,2,assistant2,2006,0,100,2.0
Maurizio Mariani,1,1,0,0,-2,fourth_official,2026,0,100,-2.0
Mehdi Rahmouni,1,1,0,0,4,assistant2,2026,0,100,4.0
Micheal Barwegen,1,1,0,0,0,assistant1,2026,0,100,0.0
Mihai Marius Marica,1,1,0,0,3,assistant1,2026,0,100,3.0
Mikael Erik Everstig,1,1,0,0,1,assistant1,1994,0,100,1.0
Mikael Nilsson,1,1,0,0,2,assistant1,1998,0,100,2.0
Mike Pickel,1,1,0,0,0,assistant2,2010,0,100,0.0
Milorad Mažić,1,1,0,0,2,referee,2014,1,100,2.0
Milovan Ristić,1,1,0,0,2,assistant1,2014,0,100,2.0
Mohamed Al Musawi,1,1,0,0,-2,assistant2,1998,0,100,-2.0
Mohamed Hansal,1,1,0,0,-2,assistant2,1990,0,100,-2.0
Mohamed Mansri,1,1,0,0,1,assistant2,1998,0,100,1.0
Mohammed Abdulla Hassan Mohamed,1,1,0,0,0,fourth_official,2022,0,100,0.0
Mohammed Khadim,1,1,0,0,0,avar2,2026,0,100,0.0
Pablo Sánchez Ibáñez,1,1,0,0,-1,referee,1974,1,100,-1.0
Paolo Calcagno,1,1,0,0,1,assistant1,2010,0,100,1.0
Park Hae-young,1,1,0,0,1,assistant1,1994,0,100,1.0
Pat Partridge,1,1,0,0,1,assistant1,1978,0,100,1.0
Pau Cebrián Devís,1,1,0,0,0,assistant1,2022,0,100,0.0
Peter Mikkelsen,1,1,0,0,-5,assistant2,1990,0,100,-5.0
Peter O'Leary,1,1,0,0,0,fourth_official,2010,0,100,0.0
Ramón Barreto Ruíz,1,1,0,0,1,assistant1,1978,0,100,1.0
Robert Wurtz,1,1,0,0,0,referee,1978,1,100,0.0
Ryszard Wójcik,1,1,0,0,3,fourth_official,1998,0,100,3.0
Rómulo Méndez,1,1,0,0,0,assistant2,1986,0,100,0.0
Said Belqola,1,1,0,0,1,referee,1998,1,100,1.0
Saíd Martínez,1,1,0,0,0,fourth_official,2022,0,100,0.0
Stefano Ayroldi,1,1,0,0,1,assistant2,2010,0,100,1.0
Tesfaye,1,1,0,0,0,assistant2,1978,0,100,0.0
Tofiq Bahramov,1,1,0,0,0,assistant1,1966,0,100,0.0
Ulf Eriksson,1,1,0,0,0,referee,1978,1,100,0.0
Victor Gomes,1,1,0,0,0,fourth_official,2022,0,100,0.0
Victoriano Sánchez Arminio,1,1,0,0,2,referee,1986,1,100,2.0
Werner Winsemann,1,1,0,0,1,assistant2,1978,0,100,1.0
William Torres,1,1,0,0,0,assistant1,2014,0,100,0.0
Willy Delajod,1,1,0,0,4,avar1,2026,0,100,4.0
Wolfgang Stark,1,1,0,0,0,referee,2010,1,100,0.0
Éric Poulat,1,1,0,0,-1,fourth_official,2006,0,100,-1.0
Abdelhak Etchiali,1,0,0,1,6,avar2,2022,0,0,6.0
