era,team_name,matches,wins,draws,losses,goals_for,goals_against,yellows_received,dismissals_received,pen_goals_for,yellows_drawn,dismissals_drawn,pen_goals_against,eb_yellows_received,eb_dismissals_received,eb_yellows_drawn,eb_dismissals_drawn,eb_pen_goals_for,eb_pen_goals_against,eb_card_net,eb_pen_net,eb_card_net_rank,eb_pen_net_rank
1970-1986,Portugal,3,1,0,2,2,4,2,0,0,4,0,0,0.9576466295684825,0.04478008200963551,1.0652020828208493,0.04952829888679264,0.09554099807499045,0.07028649535633903,0.10755545325236682,0.025254502718651414,6,17
1970-1986,Romania,3,1,0,2,4,5,3,0,1,1,0,0,1.0040601855288627,0.04478008200963551,0.8811421561507051,0.04952829888679264,0.11484810517734743,0.07028649535633903,-0.12291802937815755,0.0445616098210084,33,9
1970-1986,Scotland,12,3,5,4,17,18,10,0,1,12,1,1,0.9373876358243898,0.034777770507856916,1.002479592879876,0.04952831007726666,0.0978459969018579,0.0898574493298789,0.0650919570554862,0.007988547571979004,13,26
1970-1986,South Korea,3,0,1,2,4,7,7,0,0,4,0,0,1.1897144093703833,0.04478008200963551,1.0652020828208493,0.04952829888679264,0.09554099807499045,0.07028649535633903,-0.12451232654953404,0.025254502718651414,34,17
1970-1986,Soviet Union,13,6,4,3,25,11,14,0,2,10,0,0,1.0344734073004151,0.03393554609858114,0.8883127008804355,0.04952828888679586,0.11244528137339616,0.034741264360171185,-0.1461607064199797,0.07770401701322496,35,2
1970-1986,Spain,13,5,3,5,17,11,15,0,4,14,1,1,1.0661737206053796,0.03393554609858114,1.0404095108240268,0.049528309077266755,0.1448106744690361,0.08531318548948678,-0.025764209781352854,0.059497488979549304,19,7
1970-1986,Sweden,12,3,4,5,10,11,9,0,0,9,0,2,0.9046495137940471,0.034777770507856916,0.8838980155132985,0.04952828988679536,0.08139711305824643,0.14312311763565447,-0.020751498280748626,-0.06172600457740804,18,34
1970-1986,Tunisia,3,1,1,1,3,2,1,0,0,1,0,1,0.9112330736081022,0.04478008200963551,0.8811421561507051,0.04952829888679264,0.09554099807499045,0.17260065015410844,-0.030090917457397115,-0.077059652079118,20,36
1970-1986,Uruguay,13,2,4,7,7,19,24,3,1,12,0,0,1.351476540350061,0.10658750713376354,0.9643611058522311,0.04952828888679586,0.0962625848255762,0.034741264360171185,-0.3871154344978299,0.06152132046540502,44,5
1970-1986,West Germany,33,20,6,7,60,36,27,1,3,56,4,3,0.8852949405868754,0.03917742258361665,1.4981254818265874,0.04952834964866539,0.097176440845287,0.0926983524100982,0.612830541239712,0.004478088435188793,1,28
1970-1986,Yugoslavia,9,2,3,4,14,9,13,0,1,8,2,2,1.1483904411144712,0.03757545325270787,0.957968203722175,0.04952833326773913,0.10292500106313097,0.17034349850368197,-0.19042223739229625,-0.06741849744055099,40,35
1970-1986,Zaire,3,0,0,3,0,14,2,1,0,3,0,0,0.9576466295684825,0.07673635546859654,1.0038487739308013,0.04952829888679264,0.09554099807499045,0.07028649535633903,0.04620214436231884,0.025254502718651414,15,17
1990-2018,Algeria,7,1,2,4,7,9,14,2,1,11,0,0,2.003701538585427,0.13361975933004835,1.9955807993820647,0.13199639198595495,0.11738715476165808,0.11680327168852501,-0.008120739203362204,0.0005838830731330624,29,25
1990-2018,Angola,3,0,2,1,1,2,11,1,0,6,0,0,2.2399270634783477,0.13298935859602332,2.005074029210934,0.13209675709594434,0.1156668969761991,0.11680327568852467,-0.23485303426741355,-0.001136378712325567,64,32
1990-2018,Argentina,40,25,4,11,60,38,87,6,4,89,10,5,2.121819005551957,0.13309174234962579,2.030169272577866,0.1330617928022965,0.11485707930993555,0.11680328149554117,-0.09164973297409107,-0.0019462021856056222,40,52
1990-2018,Australia,13,2,3,8,13,26,31,3,4,30,3,3,2.1630985088440324,0.1338846812307444,2.017257362740393,0.13241531987255645,0.12459819796058438,0.11680329137273371,-0.1458411461036393,0.007794906587850675,50,4
1990-2018,Austria,6,1,2,3,5,7,15,1,1,12,0,1,2.1276734288081918,0.1324512686900986,2.0050260331176006,0.13202146896275724,0.11776417415015918,0.11680328124992796,-0.12264739569059113,0.0009608929002312139,47,23
1990-2018,Belgium,27,15,5,7,41,27,36,3,1,50,2,3,1.6040890348382895,0.13142631736527832,1.9928849280974374,0.13187530014104776,0.11032320870447995,0.11680327737273542,0.388795893259148,-0.00648006866825547,3,67
1990-2018,Bolivia,3,0,1,2,1,4,8,2,0,7,0,1,2.098610220340711,0.13434354194019776,2.0082571952194797,0.13209675709594434,0.1156668969761991,0.11680328424992796,-0.09035302512123122,-0.0011363872737288616,37,40
1990-2018,Bosnia and Herzegovina,3,1,0,2,4,4,3,0,0,3,0,0,1.86308214844465,0.13163517525184887,1.995524531185297,0.13209675709594434,0.1156668969761991,0.11680327568852467,0.1324423827406469,-0.001136378712325567,17,32
1990-2018,Brazil,47,35,4,8,85,42,75,5,5,109,7,4,1.7101496943355712,0.13062303998758953,2.0463322558189465,0.13232066310628993,0.1154133365709624,0.11680326593414375,0.33618256148337533,-0.001389929363181358,4,49
1990-2018,Bulgaria,10,4,1,5,11,18,31,3,3,28,1,3,2.3929798491301426,0.13442348695467313,2.0298737065095267,0.13211105620871816,0.12261248688796565,0.11680329437273378,-0.3631061426206159,0.005809192515231876,69,7
1990-2018,Cameroon,20,4,4,12,17,42,44,8,2,38,1,3,2.1070757090672174,0.13926266003558885,1.9987740386483812,0.1318607343929439,0.11577036141881288,0.11680328437273414,-0.1083016704188362,-0.001032922953921267,44,31
1990-2018,Chile,12,4,3,5,14,17,35,1,0,21,3,2,2.3669795677305383,0.13138804705155588,1.995649175748107,0.13244044779507635,0.11238665998581979,0.11680328381133108,-0.37133039198243134,-0.004416623825511293,70,63
1990-2018,China,3,0,0,3,0,9,5,1,0,9,0,1,1.9572933772030745,0.13298935859602332,2.014623527236571,0.13209675709594434,0.1156668969761991,0.11680328424992796,0.05733015003349662,-0.0011363872737288616,22,40
1990-2018,Colombia,19,9,1,9,27,19,31,1,2,35,0,2,1.8144824110317757,0.13016899562320944,1.9957414232912807,0.13169620964559667,0.11612728544788876,0.11680327681133192,0.18125901225950503,-0.0006759913634431514,12,30
1990-2018,Costa Rica,18,6,3,9,19,28,38,1,0,39,1,1,2.057782217504541,0.1303417590095072,2.0139571102525684,0.13191072283843608,0.11030127892081971,0.11680326924992955,-0.04382510725197264,-0.006501990329109836,34,68
1990-2018,Croatia,23,13,2,8,35,26,52,4,2,38,4,5,2.1477940692165616,0.13343792044167874,1.9808291792423989,0.1323539347610271,0.1147126333801175,0.11680329849553824,-0.1669648899741627,-0.002090665115420734,54,53
1990-2018,Czech Republic,3,1,0,2,3,4,7,2,0,9,0,0,2.0515046059614988,0.13434354194019776,2.014623527236571,0.13209675709594434,0.1156668969761991,0.11680327568852467,-0.03688107872492763,-0.001136378712325567,33,32
1990-2018,Czechoslovakia,5,3,0,2,10,5,14,1,2,10,1,1,2.1762195854249504,0.1326301475226023,2.005041930606685,0.13223657385971838,0.12136573194754646,0.11680328224992795,-0.17117765481826552,0.004562449697618515,55,10
1990-2018,Denmark,16,6,4,6,20,20,33,2,2,23,2,2,2.031943357014169,0.13201942141947828,1.9773623090043826,0.13215037124113246,0.11721138571841065,0.11680327981133146,-0.05458104800978636,0.00040810590707919536,35,27
1990-2018,Ecuador,10,4,1,5,10,11,23,1,0,14,0,0,2.109582257701343,0.1317405525618026,1.98628072819731,0.1319212181823135,0.11309942111169974,0.11680326868852545,-0.12330152950403295,-0.0037038475768257084,48,62
1990-2018,Egypt,6,0,2,4,3,8,9,0,2,4,0,1,1.8800351958541646,0.13110256452407767,1.9798015858585334,0.13202146896275724,0.12097593432329397,0.11680328124992796,0.09976639000436882,0.004172653073366006,19,12
1990-2018,England,35,15,8,12,44,32,44,2,7,63,1,4,1.5132978855656718,0.1287637123529211,1.9843826689827413,0.13148702527432074,0.12535869530573415,0.11680327793413885,0.4710847834170695,0.008555417371595306,1,3
1990-2018,France,32,20,6,6,49,21,55,6,7,73,4,4,1.8226794593885343,0.1344791038040769,2.030872616086339,0.13212874297239358,0.12647347128052833,0.11680328093413801,0.20819315669780458,0.009670190346390314,10,2
