year,team,stage,opp,opp_elo
1990,Italy,semi-finals,Argentina,1794
1990,West Germany,semi-finals,England,1944
1990,England,semi-finals,West Germany,1994
1990,Italy,third place,England,1944
1990,England,third place,Italy,1965
1990,West Germany,final,Argentina,1794
1990,Argentina,final,West Germany,1994
1994,Germany,round of 16,Belgium,1823
1994,Belgium,round of 16,Germany,2009
1994,Spain,round of 16,Switzerland,1873
1994,Switzerland,round of 16,Spain,1893
1994,Saudi Arabia,round of 16,Sweden,1906
1994,Sweden,round of 16,Saudi Arabia,1637
1994,Romania,round of 16,Argentina,1915
1994,Argentina,round of 16,Romania,1836
1994,Netherlands,round of 16,Republic of Ireland,1864
1994,Republic of Ireland,round of 16,Netherlands,1990
1994,Brazil,round of 16,United States,1614
1994,United States,round of 16,Brazil,1963
1994,Nigeria,round of 16,Italy,1986
1994,Italy,round of 16,Nigeria,1735
1994,Mexico,round of 16,Bulgaria,1772
1994,Bulgaria,round of 16,Mexico,1855
1994,Italy,quarter-finals,Spain,1893
1994,Spain,quarter-finals,Italy,1986
1994,Netherlands,quarter-finals,Brazil,1963
1994,Brazil,quarter-finals,Netherlands,1990
1994,Bulgaria,quarter-finals,Germany,2009
1994,Germany,quarter-finals,Bulgaria,1772
1994,Romania,quarter-finals,Sweden,1906
1994,Sweden,quarter-finals,Romania,1836
1994,Bulgaria,semi-finals,Italy,1986
1994,Italy,semi-finals,Bulgaria,1772
1994,Sweden,semi-finals,Brazil,1963
1994,Brazil,semi-finals,Sweden,1906
1994,Sweden,third place,Bulgaria,1772
1994,Bulgaria,third place,Sweden,1906
1994,Brazil,final,Italy,1986
1994,Italy,final,Brazil,1963
1998,Italy,round of 16,Norway,1902
1998,Norway,round of 16,Italy,1971
1998,Brazil,round of 16,Chile,1788
1998,Chile,round of 16,Brazil,2091
1998,France,round of 16,Paraguay,1742
1998,Paraguay,round of 16,France,2002
1998,Nigeria,round of 16,Denmark,1882
1998,Denmark,round of 16,Nigeria,1703
1998,Germany,round of 16,Mexico,1847
1998,Mexico,round of 16,Germany,2058
1998,Netherlands,round of 16,Yugoslavia,1969
1998,Yugoslavia,round of 16,Netherlands,1959
1998,Romania,round of 16,Croatia,1874
1998,Croatia,round of 16,Romania,1879
1998,Argentina,round of 16,England,1974
1998,England,round of 16,Argentina,1893
1998,Italy,quarter-finals,France,2002
1998,France,quarter-finals,Italy,1971
1998,Brazil,quarter-finals,Denmark,1882
1998,Denmark,quarter-finals,Brazil,2091
1998,Netherlands,quarter-finals,Argentina,1893
1998,Argentina,quarter-finals,Netherlands,1959
1998,Germany,quarter-finals,Croatia,1874
1998,Croatia,quarter-finals,Germany,2058
1998,Brazil,semi-finals,Netherlands,1959
1998,Netherlands,semi-finals,Brazil,2091
1998,France,semi-finals,Croatia,1874
1998,Croatia,semi-finals,France,2002
1998,Netherlands,third place,Croatia,1874
1998,Croatia,third place,Netherlands,1959
1998,Brazil,final,France,2002
1998,France,final,Brazil,2091
2002,Germany,round of 16,Paraguay,1731
2002,Paraguay,round of 16,Germany,1869
2002,Denmark,round of 16,England,1924
2002,England,round of 16,Denmark,1860
2002,Sweden,round of 16,Senegal,1698
2002,Senegal,round of 16,Sweden,1866
2002,Spain,round of 16,Republic of Ireland,1873
2002,Republic of Ireland,round of 16,Spain,1963
2002,Mexico,round of 16,United States,1809
2002,United States,round of 16,Mexico,1832
2002,Brazil,round of 16,Belgium,1837
2002,Belgium,round of 16,Brazil,1867
2002,Japan,round of 16,Turkey,1757
2002,Turkey,round of 16,Japan,1848
2002,South Korea,round of 16,Italy,2009
2002,Italy,round of 16,South Korea,1735
2002,England,quarter-finals,Brazil,1867
2002,Brazil,quarter-finals,England,1924
2002,Germany,quarter-finals,United States,1809
2002,United States,quarter-finals,Germany,1869
2002,Spain,quarter-finals,South Korea,1735
2002,South Korea,quarter-finals,Spain,1963
2002,Senegal,quarter-finals,Turkey,1757
2002,Turkey,quarter-finals,Senegal,1698
2002,Germany,semi-finals,South Korea,1735
2002,South Korea,semi-finals,Germany,1869
2002,Brazil,semi-finals,Turkey,1757
2002,Turkey,semi-finals,Brazil,1867
2002,South Korea,third place,Turkey,1757
2002,Turkey,third place,South Korea,1735
2002,Germany,final,Brazil,1867
2002,Brazil,final,Germany,1869
2006,Germany,round of 16,Sweden,1859
2006,Sweden,round of 16,Germany,1895
2006,Argentina,round of 16,Mexico,1838
2006,Mexico,round of 16,Argentina,1922
2006,England,round of 16,Ecuador,1700
2006,Ecuador,round of 16,England,1972
2006,Portugal,round of 16,Netherlands,1994
2006,Netherlands,round of 16,Portugal,1915
2006,Italy,round of 16,Australia,1798
2006,Australia,round of 16,Italy,1943
2006,Switzerland,round of 16,Ukraine,1790
2006,Ukraine,round of 16,Switzerland,1800
2006,Brazil,round of 16,Ghana,1616
2006,Ghana,round of 16,Brazil,2034
2006,Spain,round of 16,France,1971
2006,France,round of 16,Spain,1965
2006,Germany,quarter-finals,Argentina,1922
2006,Argentina,quarter-finals,Germany,1895
2006,Italy,quarter-finals,Ukraine,1790
2006,Ukraine,quarter-finals,Italy,1943
2006,England,quarter-finals,Portugal,1915
2006,Portugal,quarter-finals,England,1972
2006,Brazil,quarter-finals,France,1971
2006,France,quarter-finals,Brazil,2034
2006,Germany,semi-finals,Italy,1943
2006,Italy,semi-finals,Germany,1895
2006,Portugal,semi-finals,France,1971
2006,France,semi-finals,Portugal,1915
2006,Germany,third place,Portugal,1915
2006,Portugal,third place,Germany,1895
2006,Italy,final,France,1971
2006,France,final,Italy,1943
2010,Uruguay,round of 16,South Korea,1765
2010,South Korea,round of 16,Uruguay,1845
2010,United States,round of 16,Ghana,1687
2010,Ghana,round of 16,United States,1785
2010,Germany,round of 16,England,2001
2010,England,round of 16,Germany,1957
2010,Argentina,round of 16,Mexico,1898
2010,Mexico,round of 16,Argentina,1921
2010,Netherlands,round of 16,Slovakia,1670
2010,Slovakia,round of 16,Netherlands,2043
2010,Brazil,round of 16,Chile,1886
2010,Chile,round of 16,Brazil,2109
2010,Paraguay,round of 16,Japan,1678
2010,Japan,round of 16,Paraguay,1764
2010,Spain,round of 16,Portugal,1876
2010,Portugal,round of 16,Spain,2111
2010,Netherlands,quarter-finals,Brazil,2109
2010,Brazil,quarter-finals,Netherlands,2043
2010,Uruguay,quarter-finals,Ghana,1687
2010,Ghana,quarter-finals,Uruguay,1845
2010,Argentina,quarter-finals,Germany,1957
2010,Germany,quarter-finals,Argentina,1921
2010,Paraguay,quarter-finals,Spain,2111
2010,Spain,quarter-finals,Paraguay,1764
2010,Uruguay,semi-finals,Netherlands,2043
2010,Netherlands,semi-finals,Uruguay,1845
2010,Germany,semi-finals,Spain,2111
2010,Spain,semi-finals,Germany,1957
2010,Uruguay,third place,Germany,1957
2010,Germany,third place,Uruguay,1845
2010,Netherlands,final,Spain,2111
2010,Spain,final,Netherlands,2043
2014,Brazil,round of 16,Chile,1919
2014,Chile,round of 16,Brazil,2138
2014,Colombia,round of 16,Uruguay,1918
2014,Uruguay,round of 16,Colombia,1922
2014,Netherlands,round of 16,Mexico,1814
2014,Mexico,round of 16,Netherlands,1985
2014,Costa Rica,round of 16,Greece,1823
2014,Greece,round of 16,Costa Rica,1711
2014,France,round of 16,Nigeria,1727
2014,Nigeria,round of 16,France,1896
2014,Germany,round of 16,Algeria,1625
2014,Algeria,round of 16,Germany,2073
2014,Argentina,round of 16,Switzerland,1855
2014,Switzerland,round of 16,Argentina,2018
2014,Belgium,round of 16,United States,1857
2014,United States,round of 16,Belgium,1851
2014,France,quarter-finals,Germany,2073
2014,Germany,quarter-finals,France,1896
2014,Brazil,quarter-finals,Colombia,1922
2014,Colombia,quarter-finals,Brazil,2138
2014,Argentina,quarter-finals,Belgium,1851
2014,Belgium,quarter-finals,Argentina,2018
2014,Netherlands,quarter-finals,Costa Rica,1711
2014,Costa Rica,quarter-finals,Netherlands,1985
2014,Brazil,semi-finals,Germany,2073
2014,Germany,semi-finals,Brazil,2138
2014,Netherlands,semi-finals,Argentina,2018
2014,Argentina,semi-finals,Netherlands,1985
2014,Brazil,third place,Netherlands,1985
2014,Netherlands,third place,Brazil,2138
2014,Germany,final,Argentina,2018
2014,Argentina,final,Germany,2073
2018,France,round of 16,Argentina,1984
