official,matches,wins,draws,losses,roles,years,others_matches,win_pct,others_win_pct,expected_win_pct,delta_vs_expected,scope
Ferencz Tunyogi,1,1,0,0,assistant2,2026,2,100.0,50,63.0,37.0,crew
Fernando Guerrero,1,1,0,0,avar3,2022,18,100.0,44,67.0,33.0,crew
Francesco Buragina,1,1,0,0,assistant1,2006,6,100.0,33,100.0,0.0,crew
Francis Rion,1,0,0,1,assistant1,1978,4,0.0,50,25.0,-25.0,crew
Frank De Bleeckere,2,2,0,0,referee,2006/2010,14,100.0,43,82.0,18.0,crew
François Letexier,1,1,0,0,referee,2026,2,100.0,0,63.0,37.0,crew
Fritz Seipelt,1,0,0,1,assistant2,1958,10,0.0,40,63.0,-63.0,crew
Frédéric Arnault,1,1,0,0,assistant1,2002,6,100.0,50,100.0,0.0,crew
Gabriel González,1,1,0,0,assistant1,1986,4,100.0,25,100.0,0.0,crew
Gaspar Vallejo,1,1,0,0,assistant1,1930,2,100.0,50,63.0,37.0,crew
Gastón Castro,1,0,0,1,assistant1,1982,8,0.0,50,33.0,-33.0,crew
Gennaro Mazzei,1,1,0,0,assistant2,1998,4,100.0,25,63.0,37.0,crew
George Courtney,1,1,0,0,assistant2,1986,16,100.0,44,0.0,100.0,crew
Gery Vargas,1,0,1,0,avar3,2018,14,0.0,43,63.0,-63.0,crew
Gilberto Aristizábal,1,0,0,1,assistant2,1982,10,0.0,50,33.0,-33.0,crew
Gilberto de Almeida Rêgo,1,1,0,0,referee,1930,8,100.0,50,67.0,33.0,crew
Gilles Veissière,1,1,0,0,referee,2002,8,100.0,38,100.0,0.0,crew
Gottfried Dienst,1,0,0,1,assistant1,1966,16,0.0,44,60.0,-60.0,crew
Gualberto Alonso,1,1,0,0,assistant1,1930,0,100.0,-1,100.0,0.0,crew
Guillermo Pacheco,1,1,0,0,var,2026,20,100.0,40,100.0,0.0,crew
Halim Abdul Hamid,1,1,0,0,assistant1,1998,6,100.0,17,40.0,60.0,crew
Heiner Müller,2,1,1,0,assistant1/assistant2,2002,4,50.0,50,50.0,0.0,crew
Heinz Aldinger,1,0,0,1,assistant2,1974,2,0.0,50,100.0,-100.0,crew
Helge,2,1,0,1,assistant1/assistant2,1958,4,50.0,25,48.0,2.0,crew
Henri Christophe,2,1,0,1,assistant1,1930,6,50.0,50,82.0,-32.0,crew
Hessel Steegstra,1,1,0,0,assistant1,2022,8,100.0,38,50.0,50.0,crew
Héctor Vergara,1,0,0,1,assistant1,2002,26,0.0,35,60.0,-60.0,crew
Ismail Elfath,2,2,0,0,fourth_official/referee,2022/2026,12,100.0,42,53.0,47.0,crew
István Kovács,2,2,0,0,fourth_official/referee,2022/2026,16,100.0,31,82.0,18.0,crew
István Zsolt,2,1,0,1,assistant2,1966,20,50.0,30,80.0,-30.0,crew
Ivan Bebek,1,1,0,0,avar1,2026,20,100.0,40,63.0,37.0,crew
Jack Taylor,2,0,1,1,assistant2/referee,1974,14,0.0,36,48.0,-48.0,crew
Jafar Namdar,1,1,0,0,assistant1,1978,10,100.0,30,50.0,50.0,crew
Jakhongir Saidov,1,0,0,1,assistant2,2018,2,0.0,0,100.0,-100.0,crew
Jamal Al Sharif,1,1,0,0,assistant2,1990,16,100.0,44,63.0,37.0,crew
Jan Dolstra,1,1,0,0,assistant2,1994,8,100.0,50,100.0,0.0,crew
Jan Keizer,1,0,1,0,referee,1986,6,0.0,50,25.0,-25.0,crew
Jan de Vries,1,1,0,0,assistant2,2022,8,100.0,38,50.0,50.0,crew
Jan-Hendrik Salver,1,1,0,0,assistant1,2010,10,100.0,50,100.0,0.0,crew
Jean Dubach,1,1,0,0,referee,1978,4,100.0,50,67.0,33.0,crew
Jerome Damon,3,2,0,1,fourth_official,2010,20,67.0,45,67.0,0.0,crew
Jesús Díaz,1,1,0,0,assistant2,1986,8,100.0,38,100.0,0.0,crew
Joaquim Campos,3,2,1,0,assistant1/referee,1958/1966,12,67.0,33,65.0,2.0,crew
Joe Fletcher,1,0,1,0,avar2,2018,22,0.0,45,63.0,-63.0,crew
Joel Aguilar,1,1,0,0,referee,2014,20,100.0,30,63.0,37.0,crew
John Langenus,3,2,0,1,referee,1930,12,67.0,42,75.0,-8.0,crew
Jonas Eriksson,2,2,0,0,fourth_official/referee,2014,6,100.0,50,70.0,30.0,crew
José Luis Martínez Bazán,1,1,0,0,assistant1,1986,6,100.0,33,50.0,50.0,crew
José Roberto Wright,1,1,0,0,assistant1,1990,8,100.0,50,63.0,37.0,crew
João Pinheiro,1,1,0,0,referee,2026,6,100.0,50,100.0,0.0,crew
Joël Quiniou,1,1,0,0,referee,1990,24,100.0,38,0.0,100.0,crew
Juan Garay Gardeazábal,2,1,1,0,assistant1/referee,1962,22,50.0,45,75.0,-25.0,crew
Juan Lara,2,2,0,0,avar1,2026,22,100.0,50,70.0,30.0,crew
Juan Soto,3,3,0,0,avar1/avar3,2022,40,100.0,38,56.0,44.0,crew
Juan Zumba,1,1,0,0,assistant2,2014,6,100.0,33,63.0,37.0,crew
Julio Bascuñán,2,1,0,1,avar3/fourth_official,2018/2022,28,50.0,43,70.0,-20.0,crew
Jérôme Brisard,2,2,0,0,avar3/var,2022/2026,28,100.0,32,82.0,18.0,crew
Kathryn Nesbitt,2,2,0,0,avar2,2022,16,100.0,44,50.0,50.0,crew
Katia García,1,1,0,0,fourth_official,2026,0,100.0,-1,63.0,37.0,crew
Khalil Al Ghamdi,2,2,0,0,fourth_official,2006/2010,16,100.0,38,100.0,0.0,crew
Khamis Al-Marri,1,1,0,0,var,2026,18,100.0,39,63.0,37.0,crew
Kim Milton Nielsen,1,1,0,0,referee,1998,14,100.0,29,40.0,60.0,crew
Konstantin Zečević,2,1,1,0,assistant2/referee,1966,2,50.0,50,48.0,2.0,crew
Kurt Röthlisberger,1,1,0,0,referee,1990,18,100.0,44,63.0,37.0,crew
Kurt Tschenscher,1,0,0,1,assistant1,1974,18,0.0,22,60.0,-60.0,crew
Kyle Atkins,2,2,0,0,assistant2/avar2,2022/2026,18,100.0,44,53.0,47.0,crew
Károly Palotai,2,0,1,1,assistant1/referee,1978/1982,20,0.0,35,67.0,-67.0,crew
Leslie Mottram,1,1,0,0,fourth_official,1994,8,100.0,25,100.0,0.0,crew
Lim Kee Chong,2,1,0,1,fourth_official,1994/1998,10,50.0,50,75.0,-25.0,crew
Luc Matthys,2,1,0,1,assistant2,1994,8,50.0,25,50.0,0.0,crew
Luciano Maia,1,1,0,0,assistant2,2026,4,100.0,50,100.0,0.0,crew
Luigi Agnolin,1,1,0,0,referee,1986,10,100.0,50,0.0,100.0,crew
Luis Barrancos,1,1,0,0,referee,1982,2,100.0,0,63.0,37.0,crew
Luis Medina Cantalejo,1,0,1,0,referee,2006,8,0.0,50,60.0,-60.0,crew
Lyes Arfa,1,1,0,0,assistant2,2026,4,100.0,50,63.0,37.0,crew
Maguette Ndiaye,1,0,0,1,fourth_official,2022,10,0.0,50,63.0,-63.0,crew
Mahmoud Abouregal,1,1,0,0,assistant1,2026,2,100.0,50,63.0,37.0,crew
Mahmoud Ashour,1,1,0,0,avar1,2026,12,100.0,42,63.0,37.0,crew
Mahmoud Mustafa Kamel,2,1,1,0,assistant1/assistant2,1974,2,50.0,50,63.0,-13.0,crew
Marc Van den Broeck,1,1,0,0,assistant1,1998,8,100.0,38,63.0,37.0,crew
Marco Di Bello,3,3,0,0,avar2/var,2026,20,100.0,35,68.0,32.0,crew
Marco Fritz,1,1,0,0,avar1,2022,8,100.0,38,63.0,37.0,crew
Mario Escobar,1,1,0,0,fourth_official,2022,2,100.0,50,63.0,37.0,crew
Mario Rubio Vázquez,1,0,0,1,referee,1982,8,0.0,25,33.0,-33.0,crew
Mario van der Ende,2,2,0,0,fourth_official/referee,1994/1998,10,100.0,50,82.0,18.0,crew
Mark Geiger,1,0,1,0,var,2018,30,0.0,47,63.0,-63.0,crew
Markus Merk,1,1,0,0,fourth_official,2002,12,100.0,50,100.0,0.0,crew
Martin Balko,1,0,0,1,assistant2,2006,6,0.0,50,0.0,0.0,crew
Massimiliano Irrati,4,3,0,1,avar3/var,2018/2022,44,75.0,41,88.0,-13.0,crew
Massimo Busacca,2,1,0,1,fourth_official/referee,2006,8,50.0,38,50.0,0.0,crew
Mathias Klasenius,1,1,0,0,assistant1,2014,4,100.0,50,100.0,0.0,crew
Matthias Arnet,1,1,0,0,assistant2,2006,6,100.0,33,100.0,0.0,crew
Maurizio Mariani,1,1,0,0,fourth_official,2026,6,100.0,33,40.0,60.0,crew
Mehdi Rahmouni,1,1,0,0,assistant2,2026,4,100.0,25,63.0,37.0,crew
Michael Ragoonath,1,0,1,0,assistant2,2002,6,0.0,50,0.0,0.0,crew
Michał Listkiewicz,3,1,0,2,assistant1/assistant2,1990,16,33.0,50,32.0,1.0,crew
Micheal Barwegen,1,1,0,0,assistant1,2026,4,100.0,50,63.0,37.0,crew
Michel Vautrot,3,2,0,1,assistant1/referee,1982/1990,12,67.0,25,38.0,29.0,crew
Mihai Marius Marica,1,1,0,0,assistant1,2026,2,100.0,50,63.0,37.0,crew
Mikael Erik Everstig,1,1,0,0,assistant1,1994,6,100.0,33,100.0,0.0,crew
Mikael Nilsson,1,1,0,0,assistant1,1998,6,100.0,50,63.0,37.0,crew
Mike Pickel,1,1,0,0,assistant2,2010,4,100.0,50,100.0,0.0,crew
Milorad Mažić,1,1,0,0,referee,2014,12,100.0,50,63.0,37.0,crew
Milovan Ristić,1,1,0,0,assistant1,2014,8,100.0,50,63.0,37.0,crew
Mohamed Al Musawi,1,1,0,0,assistant2,1998,8,100.0,38,40.0,60.0,crew
Mohamed Hansal,1,1,0,0,assistant2,1990,6,100.0,17,63.0,37.0,crew
Mohamed Mansri,1,1,0,0,assistant2,1998,8,100.0,38,50.0,50.0,crew
Mohamed Saeed,1,0,0,1,assistant2,2002,6,0.0,50,60.0,-60.0,crew
Mohammadreza Mansouri,1,0,0,1,assistant2,2018,10,0.0,50,100.0,-100.0,crew
Mohammed Abdulla Hassan Mohamed,1,1,0,0,fourth_official,2022,14,100.0,36,50.0,50.0,crew
Mohammed Khadim,1,1,0,0,avar2,2026,0,100.0,-1,63.0,37.0,crew
Morgan,2,1,0,1,assistant1,1962,2,50.0,0,55.0,-5.0,crew
Neji Jouini,2,1,0,1,assistant1/referee,1990/1994,12,50.0,50,82.0,-32.0,crew
Nicola Rizzoli,3,2,0,1,referee,2014,2,67.0,50,50.0,17.0,crew
Nicolae Rainea,3,1,1,1,assistant2/referee,1974/1982,20,33.0,30,33.0,0.0,crew
