era,metric,team,matches,count,rate,field_rate,direction,favorable,p,signif_fdr10
1990-2018,dismissals_drawn,Portugal,21,4,0.19047619047619047,0.13217213114754098,high,True,0.3625394850934834,False
1990-2018,dismissals_drawn,Republic of Ireland,13,0,0.0,0.13217213114754098,low,False,0.4244149551672143,False
1990-2018,dismissals_drawn,Romania,13,1,0.07692307692307693,0.13217213114754098,low,False,1.0,False
1990-2018,dismissals_drawn,Russia,14,0,0.0,0.13217213114754098,low,False,0.2706374546476746,False
1990-2018,dismissals_drawn,Saudi Arabia,16,1,0.0625,0.13217213114754098,low,False,0.7280871282444303,False
1990-2018,dismissals_drawn,Scotland,6,0,0.0,0.13217213114754098,low,False,1.0,False
1990-2018,dismissals_drawn,Senegal,8,0,0.0,0.13217213114754098,low,False,0.6312780823839423,False
1990-2018,dismissals_drawn,Serbia,6,1,0.16666666666666666,0.13217213114754098,high,True,0.5486356634893128,False
1990-2018,dismissals_drawn,Serbia and Montenegro,3,1,0.3333333333333333,0.13217213114754098,high,True,0.327751385815806,False
1990-2018,dismissals_drawn,Slovakia,4,0,0.0,0.13217213114754098,low,False,1.0,False
1990-2018,dismissals_drawn,Slovenia,6,2,0.3333333333333333,0.13217213114754098,high,True,0.18847484239727996,False
1990-2018,dismissals_drawn,South Africa,9,3,0.3333333333333333,0.13217213114754098,high,True,0.11744222962414073,False
1990-2018,dismissals_drawn,South Korea,29,7,0.2413793103448276,0.13217213114754098,high,True,0.11130552295096652,False
1990-2018,dismissals_drawn,Soviet Union,3,0,0.0,0.13217213114754098,low,False,1.0,False
1990-2018,dismissals_drawn,Spain,35,4,0.11428571428571428,0.13217213114754098,low,False,1.0,False
1990-2018,dismissals_drawn,Sweden,23,5,0.21739130434782608,0.13217213114754098,high,True,0.2356539280217321,False
1990-2018,dismissals_drawn,Switzerland,19,1,0.05263157894736842,0.13217213114754098,low,False,0.5257622502036572,False
1990-2018,dismissals_drawn,Togo,3,0,0.0,0.13217213114754098,low,False,1.0,False
1990-2018,dismissals_drawn,Trinidad and Tobago,3,0,0.0,0.13217213114754098,low,False,1.0,False
1990-2018,dismissals_drawn,Tunisia,12,0,0.0,0.13217213114754098,low,False,0.4151080142123908,False
1990-2018,dismissals_drawn,Turkey,7,1,0.14285714285714285,0.13217213114754098,high,True,0.604869312108502,False
1990-2018,dismissals_drawn,Ukraine,5,1,0.2,0.13217213114754098,high,True,0.4844697197659935,False
1990-2018,dismissals_drawn,United Arab Emirates,3,0,0.0,0.13217213114754098,low,False,1.0,False
1990-2018,dismissals_drawn,United States,26,5,0.19230769230769232,0.13217213114754098,high,True,0.4003175837751623,False
1990-2018,dismissals_drawn,Uruguay,23,6,0.2608695652173913,0.13217213114754098,high,True,0.13170139094885908,False
1990-2018,dismissals_drawn,West Germany,7,4,0.5714285714285714,0.13217213114754098,high,True,0.014351202237804195,False
1990-2018,dismissals_drawn,Yugoslavia,9,1,0.1111111111111111,0.13217213114754098,low,False,1.0,False
1990-2018,pen_goals_for,Algeria,7,1,0.14285714285714285,0.1168032786885246,high,True,0.5598189218788271,False
1990-2018,pen_goals_for,Angola,3,0,0.0,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Argentina,40,4,0.1,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Australia,13,4,0.3076923076923077,0.1168032786885246,high,True,0.06670561941104129,False
1990-2018,pen_goals_for,Austria,6,1,0.16666666666666666,0.1168032786885246,high,True,0.5048936546443278,False
1990-2018,pen_goals_for,Belgium,27,1,0.037037037037037035,0.1168032786885246,low,False,0.382366552991952,False
1990-2018,pen_goals_for,Bolivia,3,0,0.0,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Bosnia and Herzegovina,3,0,0.0,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Brazil,47,5,0.10638297872340426,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Bulgaria,10,3,0.3,0.1168032786885246,high,True,0.11274195340996405,False
