referee,referee_country,n_argentina_matches,arg_resid_sum,arg_resid_mean,arg_resid_sum_shootout_as_win,perm_null_mean,perm_null_sd,p_perm_onesided_pos,p_perm_twosided_centered,years,matches_detail
Ľuboš Micheľ,Slovakia,1,0.103536,0.103536,-0.396464,0.101528,0.193242,0.462454,0.976402,2006,"2006 Quarter-finals vs Germany (act 0.5, exp 0.40, resid +0.10, pens)"
Luis Medina Cantalejo,Spain,1,0.102158,0.102158,0.102158,0.123374,0.171077,0.507549,0.751225,2006,"2006 Group vs Netherlands (act 0.5, exp 0.40, resid +0.10)"
François Letexier,France,1,0.082265,0.082265,0.082265,0.017221,0.038912,0.166983,0.166983,2026,"2026 Round of 16 vs Egypt (act 1.0, exp 0.92, resid +0.08)"
István Kovács,Romania,1,0.075574,0.075574,0.075574,0.011026,0.037149,0.089491,0.089491,2026,"2026 Group vs Jordan (act 1.0, exp 0.92, resid +0.08)"
Drew Fischer,Canada,1,0.043471,0.043471,0.043471,0.014275,0.038513,0.156384,0.156384,2026,"2026 Round of 32 vs Cape Verde (act 1.0, exp 0.96, resid +0.04)"
Antonio Mateu Lahoz,Spain,1,-0.144034,-0.144034,0.355966,-0.104595,0.258119,0.871513,0.9984,2022,"2022 Quarter-finals vs Netherlands (act 0.5, exp 0.64, resid -0.14, pens)"
Ali Bujsaim,United Arab Emirates,1,-0.208166,-0.208166,-0.208166,4e-06,0.213444,0.929607,0.19738,2002,"2002 Group vs Sweden (act 0.5, exp 0.71, resid -0.21)"
Edgardo Codesal,Mexico,1,-0.240253,-0.240253,-0.240253,-0.200209,0.179728,0.972603,1.0,1990,"1990 Final vs West Germany (act 0.0, exp 0.24, resid -0.24)"
Arturo Brizio Carter,Mexico,1,-0.406145,-0.406145,-0.406145,-0.159816,0.349479,0.833417,0.468353,1998,"1998 Quarter-finals vs Netherlands (act 0.0, exp 0.41, resid -0.41)"
Alireza Faghani,Iran,1,-0.497122,-0.497122,-0.497122,-0.122984,0.316455,0.90201,0.194081,2018,"2018 Round of 16 vs France (act 0.0, exp 0.50, resid -0.50)"
Pierluigi Pairetto,Italy,1,-0.611771,-0.611771,-0.611771,-0.081304,0.207676,1.0,0.132987,1994,"1994 Round of 16 vs Romania (act 0.0, exp 0.61, resid -0.61)"
Pierluigi Collina,Italy,1,-0.634743,-0.634743,-0.634743,0.026418,0.159116,1.0,0.021398,2002,"2002 Group vs England (act 0.0, exp 0.63, resid -0.63)"
Neji Jouini,Tunisia,1,-0.69491,-0.69491,-0.69491,-0.008997,0.246797,0.974803,0.09739,1994,"1994 Group vs Bulgaria (act 0.0, exp 0.69, resid -0.69)"
Slavko Vinčić,Slovenia,1,-0.948755,-0.948755,-0.948755,-0.010578,0.19161,1.0,0.031597,2022,"2022 Group vs Saudi Arabia (act 0.0, exp 0.95, resid -0.95)"
