tournament_year,match_date,stage,home_team,away_team,referee,referee_country,assistant1,assistant1_country,assistant2,assistant2_country,fourth_official,fourth_official_country,source_url
2006,2006-06-19,Group G,Togo,Switzerland,Carlos Amarilla,Paraguay,Amelio Andino,Paraguay,Manuel Bernal,Paraguay,Mohamed Guezzaz,Morocco,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_G; https://www.rsssf.org/tables/2006full.html
2006,2006-06-19,Group H,Saudi Arabia,Ukraine,Graham Poll,England,Philip Sharp,England,Glenn Turner,England,Toru Kamikawa,Japan,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_H; https://www.rsssf.org/tables/2006full.html
2006,2006-06-19,Group H,Spain,Tunisia,Carlos Simon,Brazil,Aristeu Tavares,Brazil,Edmílson Corona,Brazil,Carlos Chandía,Chile,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_H; https://www.rsssf.org/tables/2006full.html
2006,2006-06-20,Group A,Costa Rica,Poland,Shamsul Maidin,Singapore,Prachya Permpanich,Thailand,Eisa Gholoum,United Arab Emirates,Jerome Damon,South Africa,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/2006full.html
2006,2006-06-20,Group A,Ecuador,Germany,Valentin Ivanov,Russia,Nikolay Golubev,Russia,Evgeni Volnin,Russia,Kevin Stott,United States,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/2006full.html
2006,2006-06-20,Group B,Paraguay,Trinidad and Tobago,Roberto Rosetti,Italy,Cristiano Copelli,Italy,Alessandro Stagnoli,Italy,Frank De Bleeckere,Belgium,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/2006full.html
2006,2006-06-20,Group B,Sweden,England,Massimo Busacca,Switzerland,Francesco Buragina,Switzerland,Matthias Arnet,Switzerland,Khalil Al Ghamdi,Saudi Arabia,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/2006full.html
2006,2006-06-21,Group C,Ivory Coast,Serbia and Montenegro,Marco Rodríguez,Mexico,José Luis Camargo,Mexico,Leonel Leal,Costa Rica,Mohamed Guezzaz,Morocco,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/2006full.html
2006,2006-06-21,Group C,Netherlands,Argentina,Luis Medina Cantalejo,Spain,Victoriano Giráldez Carrasco,Spain,Pedro Medina Hernández,Spain,Carlos Chandía,Chile,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/2006full.html
2006,2006-06-21,Group D,Iran,Angola,Mark Shield,Australia,Nathan Gibson,Australia,Ben Wilson,Australia,Carlos Simon,Brazil,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/2006full.html
2006,2006-06-21,Group D,Portugal,Mexico,Ľuboš Micheľ,Slovakia,Roman Slysko,Slovakia,Martin Balko,Slovakia,Essam Abd El Fatah,Egypt,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/2006full.html
2006,2006-06-22,Group E,Czech Republic,Italy,Benito Archundia,Mexico,José Ramírez,Mexico,Héctor Vergara,Canada,Óscar Ruiz,Colombia,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/2006full.html
2006,2006-06-22,Group E,Ghana,United States,Markus Merk,Germany,Christian Schräer,Germany,Jan-Hendrik Salver,Germany,Toru Kamikawa,Japan,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/2006full.html
2006,2006-06-22,Group F,Croatia,Australia,Graham Poll,England,Philip Sharp,England,Glenn Turner,England,Kevin Stott,United States,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/2006full.html
2006,2006-06-22,Group F,Japan,Brazil,Éric Poulat,France,Lionel Dagorne,France,Vincent Texier,France,Jerome Damon,South Africa,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/2006full.html
2006,2006-06-23,Group G,Switzerland,South Korea,Horacio Elizondo,Argentina,Darío García,Argentina,Rodolfo Otero,Argentina,Essam Abd El Fatah,Egypt,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_G; https://www.rsssf.org/tables/2006full.html
2006,2006-06-23,Group G,Togo,France,Jorge Larrionda,Uruguay,Wálter Rial,Uruguay,Pablo Fandino,Uruguay,Carlos Chandía,Chile,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_G; https://www.rsssf.org/tables/2006full.html
2006,2006-06-23,Group H,Saudi Arabia,Spain,Coffi Codjia,Benin,Celestin Ntagungira,Rwanda,Aboudou Aderodjou,Benin,Mohamed Guezzaz,Morocco,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_H; https://www.rsssf.org/tables/2006full.html
2006,2006-06-23,Group H,Ukraine,Tunisia,Carlos Amarilla,Paraguay,Amelio Andino,Paraguay,Manuel Bernal,Paraguay,Marco Rodríguez,Mexico,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_H; https://www.rsssf.org/tables/2006full.html
2006,2006-06-24,Round of 16,Argentina,Mexico,Massimo Busacca,Switzerland,Francesco Buragina,Switzerland,Matthias Arnet,Switzerland,Khalil Al Ghamdi,Saudi Arabia,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2006full.html
