tournament_year,match_date,stage,home_team,away_team,referee,referee_country,assistant1,assistant1_country,assistant2,assistant2_country,fourth_official,fourth_official_country,source_url
1990,1990-06-08,Group B,Argentina,Cameroon,Michel Vautrot,France,Vincent Mauro,United States,Michał Listkiewicz,Poland,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/90full.html
1990,1990-06-09,Group A,Italy,Austria,José Roberto Wright,Brazil,Armando Pérez Hoyos,Colombia,Carlos Silva Valente,Portugal,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/90full.html
1990,1990-06-09,Group B,Soviet Union,Romania,Juan Daniel Cardellino,Uruguay,Emilio Soriano Aladrén,Spain,Hernán Silva,Chile,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/90full.html
1990,1990-06-09,Group D,United Arab Emirates,Colombia,George Courtney,England,Alan Snoddy,Northern Ireland,Shizuo Takada,Japan,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/90full.html
1990,1990-06-10,Group A,United States,Czechoslovakia,Kurt Röthlisberger,Switzerland,Marcel Van Langenhove,Belgium,Aron Schmidhuber,West Germany,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/90full.html
1990,1990-06-10,Group C,Brazil,Sweden,Tullio Lanese,Italy,Michel Vautrot,France,Neji Jouini,Tunisia,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/90full.html
1990,1990-06-10,Group D,West Germany,Yugoslavia,Peter Mikkelsen,Denmark,Jassim Mandi,Bahrain,Michał Listkiewicz,Poland,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/90full.html
1990,1990-06-11,Group C,Costa Rica,Scotland,Juan Carlos Loustau,Argentina,Carlos Maciel,Paraguay,Elías Jácome,Ecuador,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/90full.html
1990,1990-06-11,Group F,England,Republic of Ireland,Aron Schmidhuber,West Germany,Erik Fredriksson,Sweden,Kurt Röthlisberger,Switzerland,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/90full.html
1990,1990-06-12,Group E,Belgium,South Korea,Vincent Mauro,United States,Alan Snoddy,Northern Ireland,George Courtney,England,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/90full.html
1990,1990-06-12,Group F,Netherlands,Egypt,Emilio Soriano Aladrén,Spain,Edgardo Codesal,Mexico,Juan Daniel Cardellino,Uruguay,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/90full.html
1990,1990-06-13,Group B,Argentina,Soviet Union,Erik Fredriksson,Sweden,José Roberto Wright,Brazil,Jamal Al Sharif,Syria,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/90full.html
1990,1990-06-13,Group E,Uruguay,Spain,Helmut Kohl,Austria,Alexey Spirin,Soviet Union,Siegfried Kirschen,East Germany,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/90full.html
1990,1990-06-14,Group A,Italy,United States,Edgardo Codesal,Mexico,Berny Ulloa Morera,Costa Rica,Juan Daniel Cardellino,Uruguay,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/90full.html
1990,1990-06-14,Group B,Cameroon,Romania,Hernán Silva,Chile,Carlos Silva Valente,Portugal,Armando Pérez Hoyos,Colombia,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/90full.html
1990,1990-06-14,Group D,Yugoslavia,Colombia,Luigi Agnolin,Italy,Neji Jouini,Tunisia,Jean-Fidèle Diramba,Gabon,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/90full.html
1990,1990-06-15,Group A,Austria,Czechoslovakia,George Smith,Scotland,Richard Lorenc,Australia,Jamal Al Sharif,Syria,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/90full.html
1990,1990-06-15,Group D,West Germany,United Arab Emirates,Alexey Spirin,Soviet Union,Shizuo Takada,Japan,Pierluigi Pairetto,Italy,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/90full.html
1990,1990-06-16,Group C,Brazil,Costa Rica,Neji Jouini,Tunisia,Jean-Fidèle Diramba,Gabon,Jassim Mandi,Bahrain,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/90full.html
1990,1990-06-16,Group C,Sweden,Scotland,Carlos Maciel,Paraguay,Vincent Mauro,United States,Michał Listkiewicz,Poland,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/90full.html
1990,1990-06-16,Group F,England,Netherlands,Zoran Petrović,Yugoslavia,Mohamed Hansal,Algeria,Edgardo Codesal,Mexico,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/90full.html
1990,1990-06-17,Group E,Belgium,Uruguay,Siegfried Kirschen,East Germany,Peter Mikkelsen,Denmark,Alexey Spirin,Soviet Union,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/90full.html
1990,1990-06-17,Group E,South Korea,Spain,Elías Jácome,Ecuador,Pierluigi Magni,Italy,Juan Carlos Loustau,Argentina,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/90full.html
1990,1990-06-17,Group F,Republic of Ireland,Egypt,Marcel Van Langenhove,Belgium,Joël Quiniou,France,Rosario Lo Bello,Italy,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/90full.html
1990,1990-06-18,Group B,Argentina,Romania,Carlos Silva Valente,Portugal,Berny Ulloa Morera,Costa Rica,Carlo Longhi,Italy,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/90full.html
1990,1990-06-18,Group B,Cameroon,Soviet Union,José Roberto Wright,Brazil,Kurt Röthlisberger,Switzerland,Pietro d'Elia,Italy,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/90full.html
1990,1990-06-19,Group A,Austria,United States,Jamal Al Sharif,Syria,Richard Lorenc,Australia,Zoran Petrović,Yugoslavia,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/90full.html
1990,1990-06-19,Group A,Italy,Czechoslovakia,Joël Quiniou,France,Marcel Van Langenhove,Belgium,George Smith,Scotland,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/90full.html
1990,1990-06-19,Group D,West Germany,Colombia,Alan Snoddy,Northern Ireland,Jassim Mandi,Bahrain,Tullio Lanese,Italy,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/90full.html
1990,1990-06-19,Group D,Yugoslavia,United Arab Emirates,Shizuo Takada,Japan,Peter Mikkelsen,Denmark,Michel Vautrot,France,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/90full.html
1990,1990-06-20,Group C,Brazil,Scotland,Helmut Kohl,Austria,Michał Listkiewicz,Poland,Siegfried Kirschen,East Germany,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/90full.html
1990,1990-06-20,Group C,Sweden,Costa Rica,Zoran Petrović,Yugoslavia,Alan Snoddy,Northern Ireland,George Courtney,England,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/90full.html
1990,1990-06-21,Group E,Belgium,Spain,Juan Carlos Loustau,Argentina,Carlos Maciel,Paraguay,Vincent Mauro,United States,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/90full.html
1990,1990-06-21,Group E,South Korea,Uruguay,Tullio Lanese,Italy,Jean-Fidèle Diramba,Gabon,Neji Jouini,Tunisia,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/90full.html
1990,1990-06-21,Group F,England,Egypt,Kurt Röthlisberger,Switzerland,Berny Ulloa Morera,Costa Rica,Edgardo Codesal,Mexico,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/90full.html
1990,1990-06-21,Group F,Republic of Ireland,Netherlands,Michel Vautrot,France,Richard Lorenc,Australia,Mohamed Hansal,Algeria,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/90full.html
1990,1990-06-23,Round of 16,Cameroon,Colombia,Tullio Lanese,Italy,Jamal Al Sharif,Syria,Berny Ulloa Morera,Costa Rica,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-06-23,Round of 16,Czechoslovakia,Costa Rica,Siegfried Kirschen,East Germany,Armando Pérez Hoyos,Colombia,Pietro d'Elia,Italy,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-06-24,Round of 16,Brazil,Argentina,Joël Quiniou,France,Alexey Spirin,Soviet Union,Pierluigi Pairetto,Italy,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-06-24,Round of 16,West Germany,Netherlands,Juan Carlos Loustau,Argentina,Elías Jácome,Ecuador,Vincent Mauro,United States,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-06-25,Round of 16,Italy,Uruguay,George Courtney,England,Kurt Röthlisberger,Switzerland,Zoran Petrović,Yugoslavia,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-06-25,Round of 16,Republic of Ireland,Romania,José Roberto Wright,Brazil,Carlos Maciel,Paraguay,Jassim Mandi,Bahrain,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-06-26,Round of 16,England,Belgium,Peter Mikkelsen,Denmark,Helmut Kohl,Austria,Shizuo Takada,Japan,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-06-26,Round of 16,Spain,Yugoslavia,Aron Schmidhuber,West Germany,Alan Snoddy,Northern Ireland,Michał Listkiewicz,Poland,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-06-30,Quarter-finals,Argentina,Yugoslavia,Kurt Röthlisberger,Switzerland,Neji Jouini,Tunisia,Mohamed Hansal,Algeria,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-06-30,Quarter-finals,Republic of Ireland,Italy,Carlos Silva Valente,Portugal,Armando Pérez Hoyos,Colombia,Berny Ulloa Morera,Costa Rica,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-07-01,Quarter-finals,Cameroon,England,Edgardo Codesal,Mexico,Vincent Mauro,United States,Jassim Mandi,Bahrain,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-07-01,Quarter-finals,Czechoslovakia,West Germany,Helmut Kohl,Austria,Peter Mikkelsen,Denmark,Michał Listkiewicz,Poland,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-07-03,Semi-finals,Argentina,Italy,Michel Vautrot,France,Michał Listkiewicz,Poland,Peter Mikkelsen,Denmark,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-07-04,Semi-finals,West Germany,England,José Roberto Wright,Brazil,Joël Quiniou,France,Armando Pérez Hoyos,Colombia,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-07-07,Third place play-off,Italy,England,Joël Quiniou,France,Mohamed Hansal,Algeria,Kurt Röthlisberger,Switzerland,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-07-08,Final,West Germany,Argentina,Edgardo Codesal,Mexico,Armando Pérez Hoyos,Colombia,Michał Listkiewicz,Poland,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_final; https://www.rsssf.org/tables/90full.html
1994,1994-06-17,Group C,Germany,Bolivia,Arturo Brizio Carter,Mexico,Eugene Brazzale,Australia,Gordon Dunster,Australia,Rodrigo Badilla,Costa Rica,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/94full.html
1994,1994-06-17,Group C,Spain,South Korea,Peter Mikkelsen,Denmark,Carl-Johan Meyer Christensen,Denmark,Roy Pearson,England,Philip Don,England,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/94full.html
1994,1994-06-18,Group A,Colombia,Romania,Jamal Al Sharif,Syria,Abdulla Al Ghattan,Bahrain,Douglas Micael James,Trinidad and Tobago,Alberto Tejada Noriega,Peru,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/94full.html
1994,1994-06-18,Group A,United States,Switzerland,Francisco Oscar Lamolina,Argentina,Ernesto Taibi,Argentina,Venancio Zarate,Paraguay,Ernesto Filippi,Uruguay,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/94full.html
1994,1994-06-18,Group E,Italy,Republic of Ireland,Mario van der Ende,Netherlands,Jan Dolstra,Netherlands,Park Hae-young,South Korea,Arturo Angeles,United States,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/94full.html
1994,1994-06-19,Group B,Cameroon,Sweden,Alberto Tejada Noriega,Peru,Douglas Micael James,Trinidad and Tobago,Abdulla Al Ghattan,Bahrain,Jamal Al Sharif,Syria,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/94full.html
1994,1994-06-19,Group E,Norway,Mexico,Sándor Puhl,Hungary,Sándor Márton,Hungary,Valentin Ivanov,Russia,Manuel Díaz Vega,Spain,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/94full.html
1994,1994-06-19,Group F,Belgium,Morocco,José Torres Cadena,Colombia,Raimundo Calix Garcia,Honduras,Tapio Yli-Karro,Finland,Leslie Mottram,Scotland,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/94full.html
1994,1994-06-20,Group B,Brazil,Russia,Lim Kee Chong,Mauritius,El Jilali Rharib,Morocco,Domenico Ramicone,Italy,Fabio Baldas,Italy,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/94full.html
1994,1994-06-20,Group F,Netherlands,Saudi Arabia,Manuel Díaz Vega,Spain,Valentin Ivanov,Russia,Sándor Márton,Hungary,Sándor Puhl,Hungary,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/94full.html
1994,1994-06-21,Group C,Germany,Spain,Filippi Cavani,Uruguay,Venancio Zarate,Paraguay,Ernesto Taibi,Argentina,Francisco Oscar Lamolina,Argentina,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/94full.html
1994,1994-06-21,Group D,Argentina,Greece,Arturo Angeles,United States,Park Hae-young,South Korea,Jan Dolstra,Netherlands,Mario van der Ende,Netherlands,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/94full.html
1994,1994-06-21,Group D,Nigeria,Bulgaria,Rodrigo Badilla,Costa Rica,Gordon Dunster,Australia,Eugene Brazzale,Australia,Ali Bujsaim,United Arab Emirates,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/94full.html
1994,1994-06-22,Group A,Romania,Switzerland,Neji Jouini,Tunisia,Abdel-Magid Hassan,Egypt,Mohammad Fanaei,Iran,Joël Quiniou,France,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/94full.html
1994,1994-06-22,Group A,United States,Colombia,Fabio Baldas,Italy,Domenico Ramicone,Italy,El Jilali Rharib,Morocco,Lim Kee Chong,Mauritius,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/94full.html
1994,1994-06-23,Group C,South Korea,Bolivia,Leslie Mottram,Scotland,Luc Matthys,Belgium,Mikael Erik Everstig,Sweden,Bo Karlsson,Sweden,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/94full.html
1994,1994-06-23,Group E,Italy,Norway,Hellmut Krug,Germany,Tapio Yli-Karro,Finland,Roy Pearson,England,Philip Don,England,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/94full.html
1994,1994-06-24,Group B,Brazil,Cameroon,Arturo Brizio Carter,Mexico,Douglas Micael James,Trinidad and Tobago,Carl-Johan Meyer Christensen,Denmark,Peter Mikkelsen,Denmark,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/94full.html
1994,1994-06-24,Group B,Sweden,Russia,Joël Quiniou,France,Mohammad Fanaei,Iran,Abdel-Magid Hassan,Egypt,Neji Jouini,Tunisia,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/94full.html
1994,1994-06-24,Group E,Mexico,Republic of Ireland,Kurt Röthlisberger,Switzerland,Michał Listkiewicz,Poland,Paulo Jorge Alves,Brazil,Renato Marsiglia,Brazil,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/94full.html
1994,1994-06-25,Group D,Argentina,Nigeria,Bo Karlsson,Sweden,Mikael Erik Everstig,Sweden,Luc Matthys,Belgium,Leslie Mottram,Scotland,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/94full.html
1994,1994-06-25,Group F,Belgium,Netherlands,Renato Marsiglia,Brazil,Paulo Jorge Alves,Brazil,Michał Listkiewicz,Poland,Kurt Röthlisberger,Switzerland,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/94full.html
1994,1994-06-25,Group F,Saudi Arabia,Morocco,Philip Don,England,Roy Pearson,England,Tapio Yli-Karro,Finland,Hellmut Krug,Germany,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/94full.html
1994,1994-06-26,Group A,Switzerland,Colombia,Peter Mikkelsen,Denmark,Carl-Johan Meyer Christensen,Denmark,Douglas Micael James,Trinidad and Tobago,Arturo Brizio Carter,Mexico,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/94full.html
1994,1994-06-26,Group A,United States,Romania,Mario van der Ende,Netherlands,Jan Dolstra,Netherlands,Gordon Dunster,Australia,Jamal Al Sharif,Syria,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/94full.html
1994,1994-06-26,Group D,Bulgaria,Greece,Ali Bujsaim,United Arab Emirates,Abdulla Al Ghattan,Bahrain,Raimundo Calix Garcia,Honduras,Arturo Angeles,United States,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/94full.html
1994,1994-06-27,Group C,Bolivia,Spain,Rodrigo Badilla,Costa Rica,Raimundo Calix Garcia,Honduras,Abdulla Al Ghattan,Bahrain,Ali Bujsaim,United Arab Emirates,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/94full.html
1994,1994-06-27,Group C,Germany,South Korea,Joël Quiniou,France,Valentin Ivanov,Russia,Abdel-Magid Hassan,Egypt,Arturo Angeles,United States,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/94full.html
1994,1994-06-28,Group B,Brazil,Sweden,Sándor Puhl,Hungary,Sándor Márton,Hungary,Luc Matthys,Belgium,Manuel Díaz Vega,Spain,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/94full.html
1994,1994-06-28,Group B,Russia,Cameroon,Jamal Al Sharif,Syria,Gordon Dunster,Australia,Jan Dolstra,Netherlands,Mario van der Ende,Netherlands,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/94full.html
1994,1994-06-28,Group E,Italy,Mexico,Francisco Oscar Lamolina,Argentina,Ernesto Taibi,Argentina,Eugene Brazzale,Australia,Hellmut Krug,Germany,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/94full.html
1994,1994-06-28,Group E,Republic of Ireland,Norway,José Torres Cadena,Colombia,Paulo Jorge Alves,Brazil,Park Hae-young,South Korea,Leslie Mottram,Scotland,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/94full.html
1994,1994-06-29,Group F,Belgium,Saudi Arabia,Hellmut Krug,Germany,Eugene Brazzale,Australia,Ernesto Taibi,Argentina,Francisco Oscar Lamolina,Argentina,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/94full.html
1994,1994-06-29,Group F,Morocco,Netherlands,Alberto Tejada Noriega,Peru,Venancio Zarate,Paraguay,Mikael Erik Everstig,Sweden,Bo Karlsson,Sweden,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/94full.html
1994,1994-06-30,Group D,Argentina,Bulgaria,Neji Jouini,Tunisia,Tapio Yli-Karro,Finland,El Jilali Rharib,Morocco,Lim Kee Chong,Mauritius,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/94full.html
1994,1994-06-30,Group D,Greece,Nigeria,Leslie Mottram,Scotland,Park Hae-young,South Korea,Paulo Jorge Alves,Brazil,José Torres Cadena,Colombia,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/94full.html
1994,1994-07-02,Round of 16,Germany,Belgium,Kurt Röthlisberger,Switzerland,Michał Listkiewicz,Poland,Carl-Johan Meyer Christensen,Denmark,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/94full.html
1994,1994-07-02,Round of 16,Spain,Switzerland,Mario van der Ende,Netherlands,Jan Dolstra,Netherlands,Sándor Márton,Hungary,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/94full.html
1994,1994-07-03,Round of 16,Romania,Argentina,Pierluigi Pairetto,Italy,Domenico Ramicone,Italy,Luc Matthys,Belgium,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/94full.html
1994,1994-07-03,Round of 16,Saudi Arabia,Sweden,Renato Marsiglia,Brazil,Paulo Jorge Alves,Brazil,Raimundo Calix Garcia,Honduras,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/94full.html
1994,1994-07-04,Round of 16,Brazil,United States,Joël Quiniou,France,Park Hae-young,South Korea,Mikael Erik Everstig,Sweden,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/94full.html
1994,1994-07-04,Round of 16,Netherlands,Republic of Ireland,Peter Mikkelsen,Denmark,Eugene Brazzale,Australia,Gordon Dunster,Australia,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/94full.html
1994,1994-07-05,Round of 16,Mexico,Bulgaria,Jamal Al Sharif,Syria,Abdulla Al Ghattan,Bahrain,Mohammad Fanaei,Iran,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/94full.html
1994,1994-07-05,Round of 16,Nigeria,Italy,Arturo Brizio Carter,Mexico,Ernesto Taibi,Argentina,Venancio Zarate,Paraguay,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/94full.html
1994,1994-07-09,Quarter-finals,Italy,Spain,Sándor Puhl,Hungary,Gordon Dunster,Australia,Luc Matthys,Belgium,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/94full.html
1994,1994-07-09,Quarter-finals,Netherlands,Brazil,Rodrigo Badilla,Costa Rica,Abdulla Al Ghattan,Bahrain,Mohammad Fanaei,Iran,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/94full.html
1994,1994-07-10,Quarter-finals,Bulgaria,Germany,José Torres Cadena,Colombia,Venancio Zarate,Paraguay,Sándor Márton,Hungary,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/94full.html
1994,1994-07-10,Quarter-finals,Romania,Sweden,Philip Don,England,Roy Pearson,England,Park Hae-young,South Korea,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/94full.html
1994,1994-07-13,Semi-finals,Bulgaria,Italy,Joël Quiniou,France,Roy Pearson,England,Carl-Johan Meyer Christensen,Denmark,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/94full.html
1994,1994-07-13,Semi-finals,Sweden,Brazil,José Torres Cadena,Colombia,Sándor Márton,Hungary,Luc Matthys,Belgium,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/94full.html
1994,1994-07-16,Third place play-off,Sweden,Bulgaria,Ali Bujsaim,United Arab Emirates,Ernesto Taibi,Argentina,El Jilali Rharib,Morocco,,,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/94full.html
1994,1994-07-17,Final,Brazil,Italy,Sándor Puhl,Hungary,Venancio Zarate,Paraguay,Mohammad Fanaei,Iran,Francisco Oscar Lamolina,Argentina,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_final; https://www.rsssf.org/tables/94full.html; https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_referees
1998,1998-06-10,Group A,Brazil,Scotland,José María García-Aranda,Spain,Fernando Tresaco Gracia,Spain,Jorge Luis Arango,Colombia,Gamal Al-Ghandour,Egypt,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/98full.html
