tournament_year,match_date,stage,home_team,away_team,referee,referee_country,assistant1,assistant1_country,assistant2,assistant2_country,fourth_official,fourth_official_country,var,var_country,avar1,avar2,avar3,source_url
2022,2022-12-10,Quarter-finals,Morocco,Portugal,Facundo Tello,Argentina,Ezequiel Brailovsky,Argentina,Gabriel Chade,Argentina,Iván Barton,El Salvador,Mauro Vigliano,Argentina,Ricardo de Burgos Bengoetxea,Diego Bonfá,Armando Villarreal,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage; http://law5-theref.blogspot.com/2022/12/world-cup-2022-referee-appointments-for_8.html
2022,2022-12-10,Quarter-finals,England,France,Wilton Sampaio,Brazil,Bruno Boschilia,Brazil,Bruno Pires,Brazil,Mohammed Abdulla Hassan Mohamed,United Arab Emirates,Nicolás Gallo,Colombia,Juan Martínez Munuera,Neuza Back,Alejandro Hernández Hernández,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage; http://law5-theref.blogspot.com/2022/12/world-cup-2022-referee-appointments-for_8.html
2022,2022-12-13,Semi-finals,Argentina,Croatia,Daniele Orsato,Italy,Ciro Carbone,Italy,Alessandro Giallatini,Italy,Mohammed Abdulla Hassan Mohamed,United Arab Emirates,Massimiliano Irrati,Italy,Paolo Valeri,Kathryn Nesbitt,Juan Soto,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage; http://law5-theref.blogspot.com/2022/12/world-cup-2022-referee-appointments-for_11.html
2022,2022-12-14,Semi-finals,France,Morocco,César Arturo Ramos,Mexico,Alberto Morín,Mexico,Miguel Hernández,Mexico,Jesús Valenzuela,Venezuela,Drew Fischer,Canada,Nicolás Gallo,Neuza Back,Armando Villarreal,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage; https://law5-theref.blogspot.com/2022/12/world-cup-2022-referee-appointments-for_12.html
2022,2022-12-17,Third place match,Croatia,Morocco,Abdulrahman Al-Jassim,Qatar,Taleb Al-Marri,Qatar,Saud Al-Maqaleh,Qatar,Raphael Claus,Brazil,Julio Bascuñán,Chile,Pol van Boekel,Bruno Pires,Armando Villarreal,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage; http://law5-theref.blogspot.com/2022/12/abdulrahman-al-jassim-in-third-place.html
2022,2022-12-18,Final,Argentina,France,Szymon Marciniak,Poland,Paweł Sokolnicki,Poland,Tomasz Listkiewicz,Poland,Ismail Elfath,United States,Tomasz Kwiatkowski,Poland,Juan Soto,Kyle Atkins,Fernando Guerrero,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_final
2026,2026-06-11,Group A,Mexico,South Africa,Wilton Sampaio,Brazil,Bruno Pires,Brazil,Bruno Boschilia,Brazil,Juan Gabriel Benítez,Paraguay,Nicolás Gallo,Colombia,Juan Lara,Jérôme Brisard,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A
2026,2026-06-11,Group A,South Korea,Czech Republic,Amin Omar,Egypt,Mahmoud Abouregal,Egypt,Ahmed Hossam Taha,Egypt,Juan Gabriel Calderón,Costa Rica,Mahmoud Ashour,Egypt,Joe Dickerson,Marco Di Bello,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A
2026,2026-06-12,Group B,Canada,Bosnia and Herzegovina,Facundo Tello,Argentina,Juan Pablo Belatti,Argentina,Gabriel Chade,Argentina,Khalid Al-Turais,Saudi Arabia,Hernán Mastrángelo,Argentina,Antonio García,Tatiana Guzmán,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B
2026,2026-06-12,Group D,United States,Paraguay,Danny Makkelie,Netherlands,Hessel Steegstra,Netherlands,Jan de Vries,Netherlands,Yusuke Araki,Japan,Carlos del Cerro Grande,Spain,Dennis Higler,Khamis Al-Marri,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D
2026,2026-06-13,Group B,Qatar,Switzerland,Saíd Martínez,Honduras,Walter López,Honduras,Christian Ramírez,Honduras,Oshane Nation,Jamaica,Guillermo Pacheco,Mexico,Erick Miranda,Leodán González,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B
2026,2026-06-13,Group C,Brazil,Morocco,Slavko Vinčić,Slovenia,Tomaž Klančnik,Slovenia,Andraž Kovačič,Slovenia,Sandro Schärer,Switzerland,Bastian Dankert,Germany,Willy Delajod,Ivan Bebek,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C
2026,2026-06-13,Group C,Haiti,Scotland,Mustapha Ghorbal,Algeria,Mokrane Gourari,Algeria,Abbes Akram Zerhouni,Algeria,Alejandro Hernández Hernández,Spain,Abdullah Al-Shehri,Saudi Arabia,Mohammed Obaid Khadim,Fedayi San,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C
2026,2026-06-13,Group D,Australia,Turkey,Jesús Valenzuela,Venezuela,Jorge Urrego,Venezuela,Tulio Moreno,Venezuela,Kevin Ortega,Peru,Tatiana Guzmán,Nicaragua,Juan Soto,Fu Ming,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D
2026,2026-06-14,Group E,Germany,Curacao,Jalal Jayed,Morocco,Zakaria Brinsi,Morocco,Mostafa Akarkad,Morocco,Abongile Tom,South Africa,Hamza El-Fariq,Morocco,Nicolás Gallo,Shaun Evans,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E
2026,2026-06-14,Group E,Ivory Coast,Ecuador,"François Letexier (France){{efn-ua|Michael Oliver (England) was originally appointed to the Ivory Coast vs Ecuador match, but he pulled out due to a minor injury.}}",,Cyril Mugnier,France,Mehdi Rahmouni,France,Khalid Al-Turais,Saudi Arabia,Jarred Gillett,England,Willy Delajod,Bram Van Driessche,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E
2026,2026-06-14,Group F,Netherlands,Japan,Ismail Elfath,United States,Corey Parker,United States,Kyle Atkins,United States,Katia Itzel García,Mexico,Armando Villarreal,United States,Rodolpho Toski,Tomasz Kwiatkowski,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F
2026,2026-06-14,Group F,Sweden,Tunisia,Yael Falcón,Argentina,Maximiliano Del Yesso,Argentina,Facundo Rodríguez,Argentina,Juan Gabriel Calderón,Costa Rica,Juan Lara,Chile,Antonio García,Hernán Mastrángelo,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F
2026,2026-06-15,Group G,Belgium,Egypt,Ramon Abatti,Brazil,Danilo Manis,Brazil,Rafael Alves,Brazil,Kevin Ortega,Peru,Juan Soto,Venezuela,Leodán González,Carlos del Cerro Grande,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G
2026,2026-06-15,Group G,Iran,New Zealand,César Arturo Ramos,Mexico,Alberto Morín,Mexico,Marco Bisguerra,Mexico,Yusuke Araki,Japan,Erick Miranda,Mexico,Fedayi San,Bastian Dankert,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G
2026,2026-06-15,Group H,Spain,Cape Verde,Adham Makhadmeh,Jordan,Mohammad Al-Kalaf,Jordan,Ahmad Al-Roalle,Jordan,Andrés Rojas,Colombia,Joe Dickerson,United States,Khamis Al-Marri,Fu Ming,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H
2026,2026-06-15,Group H,Saudi Arabia,Uruguay,Maurizio Mariani,Italy,Daniele Bindoni,Italy,Alberto Tegoni,Italy,Drew Fischer,Canada,Marco Di Bello,Italy,Ivan Bebek,Jérôme Brisard,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H
2026,2026-06-16,Group I,France,Senegal,Alireza Faghani,Australia,George Lakrindis,Australia,James Lindsay,Australia,Sandro Schärer,Switzerland,Abdullah Al-Shehri,Saudi Arabia,Armando Villarreal,Tatiana Guzmán,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I
2026,2026-06-16,Group I,Iraq,Norway,Pierre Atcho,Gabon,Boris Ditsoga,Gabon,Amos Abeigne Ndong,Gabon,Amin Omar,Egypt,Guillermo Pacheco,Mexico,Hamza El Fariq,Jarred Gillett,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I
2026,2026-06-16,Group J,Argentina,Algeria,Szymon Marciniak,Poland,Tomasz Listkiewicz,Poland,Adam Kupsik,Poland,Campbell-Kirk Kawana-Waugh,New Zealand,Tomasz Kwiatkowski,Poland,Dennis Higler,Mohammed Khadim,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J
2026,2026-06-16,Group J,Austria,Jordan,Dahane Beida,Mauritania,Jerson Emiliano dos Santos,Angola,Elvis Noupue,Cameroon,Oshane Nation,Jamaica,Mahmoud Ashour,Egypt,Nicolás Gallo,Rodolpho Toski,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J
2026,2026-06-17,Group K,Portugal,DR Congo,Abdulrahman Al-Jassim,Qatar,Taleb Al-Marri,Qatar,Saud Al-Maqaleh,Qatar,Abongile Tom,South Africa,Khamis Al-Marri,Qatar,Juan Soto,Hernán Mastrángelo,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K
