tournament_year,match_date,stage,home_team,away_team,referee,referee_country,assistant1,assistant1_country,assistant2,assistant2_country,source_url
1974,1974-06-23,Group 3,Bulgaria,Netherlands,Tony Boskovic,Australia,Walter Eschweiler,West Germany,Ferdinand Biwersi,West Germany,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-23,Group 3,Sweden,Uruguay,Erich Linemayr,Austria,Vicente Llobregat,Venezuela,Heinz Aldinger,West Germany,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1974_FIFA_World_Cup
1974,1974-06-23,Group 4,Argentina,Haiti,Pablo Sánchez Ibáñez,Spain,Mahmoud Mustafa Kamel,Egypt,Youssou N'Diaye,Senegal,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-23,Group 4,Poland,Italy,Hans-Joachim Weyland,West Germany,Gerhard Schulenburg,West Germany,Werner Winsemann,Canada,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-26,Second round Group B,Yugoslavia,West Germany,Armando Marques,Brazil,Aurelio Angonese,Italy,Edison Peréz Núñez,Peru,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-26,Second round Group A,Brazil,East Germany,Clive Thomas,Wales,Doğan Babacan,Turkey,Tony Boskovic,Australia,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-26,Second round Group A,Netherlands,Argentina,Bobby Davidson,Scotland,Kurt Tschenscher,West Germany,Pavel Kazakov,Soviet Union,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-26,Second round Group B,Sweden,Poland,Ramón Barreto Ruíz,Uruguay,Luis Pestarino,Argentina,Alfonso González Archundía,Mexico,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-30,Second round Group A,Argentina,Brazil,Vital Loraux,Belgium,Youssou N'Diaye,Senegal,Jack Taylor,England,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-30,Second round Group A,East Germany,Netherlands,Rudolf Scheurer,Switzerland,Erich Linemayr,Austria,Omar Delgado Gómez,Colombia,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-30,Second round Group B,Poland,Yugoslavia,Rudi Glöckner,East Germany,Armando Marques,Brazil,Werner Winsemann,Canada,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-30,Second round Group B,West Germany,Sweden,Pavel Kazakov,Soviet Union,Nicolae Rainea,Romania,Pablo Sánchez Ibáñez,Spain,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-07-03,Second round Group B,Poland,West Germany,Erich Linemayr,Austria,Rudolf Scheurer,Switzerland,Károly Palotai,Hungary,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-07-03,Second round Group A,Argentina,East Germany,Jack Taylor,England,Clive Thomas,Wales,Mahmoud Mustafa Kamel,Egypt,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-07-03,Second round Group A,Netherlands,Brazil,Kurt Tschenscher,West Germany,Bobby Davidson,Scotland,Govindasamy Suppiah,Singapore,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-07-03,Second round Group B,Sweden,Yugoslavia,Luis Pestarino,Argentina,Ramón Barreto Ruíz,Uruguay,Vicente Llobregat,Venezuela,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-07-06,Third place play-off,Brazil,Poland,Aurelio Angonese,Italy,Youssou N'Diaye,Senegal,Jafar Namdar,Iran,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-07-07,Final,Netherlands,West Germany,Jack Taylor,England,Ramón Barreto Ruíz,Uruguay,Alfonso González Archundía,Mexico,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-01,Group 2,West Germany,Poland,Ángel Norberto Coerezza,Argentina,Arturo Ithurralde,Argentina,Comesaña,Argentina,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-02,Group 1,Italy,France,Nicolae Rainea,Romania,Erich Linemayr,Austria,Juan Silvagno Cavanna,Chile,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-02,Group 2,Tunisia,Mexico,John Gordon,Scotland,Sergio Gonella,Italy,Jean Dubach,Switzerland,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-02,Group 1,Argentina,Hungary,António Garrido,Portugal,Pat Partridge,England,Youssou N'Diaye,Senegal,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-03,Group 3,Austria,Spain,Károly Palotai,Hungary,Ramón Barreto Ruíz,Uruguay,Ivanov,Soviet Union,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-03,Group 3,Brazil,Sweden,Clive Thomas,Wales,Alojzy Jarguz,Poland,Jafar Namdar,Iran,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-03,Group 4,Netherlands,Iran,Alfonso González Archundía,Mexico,Robert Wurtz,France,Comesaña,Argentina,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-03,Group 4,Peru,Scotland,Ulf Eriksson,Sweden,Ángel Franco Martínez,Spain,Tesfaye,Ethiopia,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-06,Group 1,Italy,Hungary,Ramón Barreto Ruíz,Uruguay,Ferdinand Biwersi,West Germany,John Gordon,Scotland,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-06,Group 2,Poland,Tunisia,Ángel Franco Martínez,Spain,Luis Pestarino,Argentina,Clive Thomas,Wales,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-06,Group 2,West Germany,Mexico,Farouk Bouzo,Syria,Francis Rion,Belgium,António Garrido,Portugal,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-06,Group 1,Argentina,France,Jean Dubach,Switzerland,César Guerrero Orosco,Peru,Werner Winsemann,Canada,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-07,Group 3,Austria,Sweden,Charles Corver,Netherlands,Dušan Maksimović,Yugoslavia,Samidi,Tunisia,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-07,Group 3,Brazil,Spain,Sergio Gonella,Italy,Abraham Klein,Israel,Arturo Ithurralde,Argentina,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-07,Group 4,Netherlands,Peru,Adolf Prokop,East Germany,Ángel Norberto Coerezza,Argentina,Ivanov,Soviet Union,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-07,Group 4,Scotland,Iran,Youssou N'Diaye,Senegal,Nicolae Rainea,Romania,Arnaldo Cézar Coelho,Brazil,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-10,Group 1,France,Hungary,Arnaldo Cézar Coelho,Brazil,Juan Silvagno Cavanna,Chile,Pat Partridge,England,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-10,Group 2,Poland,Mexico,Jafar Namdar,Iran,Charles Corver,Netherlands,Ulf Eriksson,Sweden,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-10,Group 2,West Germany,Tunisia,César Guerrero Orosco,Peru,Comesaña,Argentina,Luis Pestarino,Argentina,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-10,Group 1,Argentina,Italy,Abraham Klein,Israel,Francis Rion,Belgium,Alfonso González Archundía,Mexico,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-11,Group 3,Brazil,Austria,Robert Wurtz,France,Farouk Bouzo,Syria,Tesfaye,Ethiopia,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-11,Group 3,Spain,Sweden,Ferdinand Biwersi,West Germany,Adolf Prokop,East Germany,Arturo Ithurralde,Argentina,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-11,Group 4,Peru,Iran,Alojzy Jarguz,Poland,Dušan Maksimović,Yugoslavia,Werner Winsemann,Canada,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-11,Group 4,Scotland,Netherlands,Erich Linemayr,Austria,Károly Palotai,Hungary,Seoudi,Tunisia,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-14,Second round Group A,Austria,Netherlands,John Gordon,Scotland,Farouk Bouzo,Syria,Arturo Ithurralde,Argentina,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-14,Second round Group A,Italy,West Germany,Dušan Maksimović,Yugoslavia,Alfonso González Archundía,Mexico,Comesaña,Argentina,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-14,Second round Group B,Brazil,Peru,Nicolae Rainea,Romania,Jean Dubach,Switzerland,Werner Winsemann,Canada,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-14,Second round Group B,Argentina,Poland,Ulf Eriksson,Sweden,Jafar Namdar,Iran,Tesfaye,Ethiopia,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-18,Second round Group B,Peru,Poland,Pat Partridge,England,Clive Thomas,Wales,Charles Corver,Netherlands,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-18,Second round Group A,Italy,Austria,Francis Rion,Belgium,Ángel Norberto Coerezza,Argentina,Youssou N'Diaye,Senegal,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-18,Second round Group A,Netherlands,West Germany,Ramón Barreto Ruíz,Uruguay,Arnaldo Cézar Coelho,Brazil,Comesaña,Argentina,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-18,Second round Group B,Argentina,Brazil,Károly Palotai,Hungary,Erich Linemayr,Austria,Adolf Prokop,East Germany,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-21,Second round Group A,Austria,West Germany,Abraham Klein,Israel,António Garrido,Portugal,Alojzy Jarguz,Poland,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-21,Second round Group A,Italy,Netherlands,Ángel Franco Martínez,Spain,César Guerrero Orosco,Peru,Luis Pestarino,Argentina,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-21,Second round Group B,Brazil,Poland,Juan Silvagno Cavanna,Chile,Ivanov,Soviet Union,Alfonso González Archundía,Mexico,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-21,Second round Group B,Argentina,Peru,Robert Wurtz,France,Ferdinand Biwersi,West Germany,Sergio Gonella,Italy,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-24,Third place play-off,Brazil,Italy,Abraham Klein,Israel,Károly Palotai,Hungary,Alfonso González Archundía,Mexico,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1978,1978-06-25,Final,Argentina,Netherlands,Sergio Gonella,Italy,Ramón Barreto Ruíz,Uruguay,Erich Linemayr,Austria,https://www.rsssf.org/tables/78full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-13,Group 3,Argentina,Belgium,Vojtěch Christov,Czechoslovakia,Károly Palotai,Hungary,Alojzy Jarguz,Poland,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-14,Group 1,Italy,Poland,Michel Vautrot,France,Nicolae Rainea,Romania,Adolf Prokop,East Germany,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-14,Group 6,Brazil,Soviet Union,Augusto Lamo Castillo,Spain,Garcia,Spain,Sánchez,Spain,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-15,Group 1,Peru,Cameroon,Franz Wöhrer,Austria,Adolf Prokop,East Germany,Nicolae Rainea,Romania,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-15,Group 3,Hungary,El Salvador,Ibrahim Youssef Al-Doy,Bahrain,Charles Corver,Netherlands,Henning Lund-Sørensen,Denmark,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-15,Group 6,Scotland,New Zealand,David Socha,United States,Chan Tam Sun,Hong Kong,Yousef Alghoul,Libya,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1982_FIFA_World_Cup
1982,1982-06-16,Group 2,West Germany,Algeria,Enrique Labo Revoredo,Peru,Paolo Casarin,Italy,Gilberto Aristizábal,Colombia,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-16,Group 4,England,France,António Garrido,Portugal,Arnaldo Cézar Coelho,Brazil,Gastón Castro,Chile,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-16,Group 5,Spain,Honduras,Arturo Ithurralde,Argentina,Luis Barrancos,Bolivia,Bogdan Dotchev,Bulgaria,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-17,Group 2,Chile,Austria,Juan Daniel Cardellino,Uruguay,Gilberto Aristizábal,Colombia,Paolo Casarin,Italy,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-17,Group 4,Czechoslovakia,Kuwait,Benjamin Dwomoh,Ghana,Bob Valentine,Scotland,Rómulo Méndez,Guatemala,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-17,Group 5,Yugoslavia,Northern Ireland,Erik Fredriksson,Sweden,Károly Palotai,Hungary,Bruno Galler,Switzerland,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-18,Group 1,Italy,Peru,Walter Eschweiler,West Germany,Abraham Klein,Israel,Mario Rubio Vázquez,Mexico,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-18,Group 3,Argentina,Hungary,Belaïd Lacarne,Algeria,Michel Vautrot,France,Nicolae Rainea,Romania,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-18,Group 6,Brazil,Scotland,Luis Paulino Siles,Costa Rica,Chan Tam Sun,Hong Kong,Adolf Prokop,East Germany,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1982_FIFA_World_Cup
1982,1982-06-19,Group 1,Poland,Cameroon,Alexis Ponnet,Belgium,Mario Rubio Vázquez,Mexico,Walter Eschweiler,West Germany,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-19,Group 3,Belgium,El Salvador,Malcolm Moffat,Northern Ireland,Alojzy Jarguz,Poland,Gastón Castro,Chile,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-19,Group 6,Soviet Union,New Zealand,Yousef Alghoul,Libya,Clive White,England,Emilio Soriano Aladrén,Spain,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-20,Group 2,West Germany,Chile,Bruno Galler,Switzerland,Tony Boskovic,Australia,Vojtěch Christov,Czechoslovakia,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-20,Group 4,England,Czechoslovakia,Charles Corver,Netherlands,Bogdan Dotchev,Bulgaria,Gilberto Aristizábal,Colombia,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-20,Group 5,Spain,Yugoslavia,Henning Lund-Sørensen,Denmark,Arturo Ithurralde,Argentina,António Garrido,Portugal,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-21,Group 2,Algeria,Austria,Tony Boskovic,Australia,Vojtěch Christov,Czechoslovakia,Ibrahim Youssef Al-Doy,Bahrain,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-21,Group 4,France,Kuwait,Myroslav Stupar,Soviet Union,Damir Matovinović,Yugoslavia,Erik Fredriksson,Sweden,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-21,Group 5,Honduras,Northern Ireland,Tam Sun Chan,Hong Kong,Paolo Casarin,Italy,Enrique Labo Revoredo,Peru,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-22,Group 1,Poland,Peru,Mario Rubio Vázquez,Mexico,Emilio Soriano Aladrén,Spain,Sánchez,Spain,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-22,Group 3,Belgium,Hungary,Clive White,England,Belaïd Lacarne,Algeria,Walter Eschweiler,West Germany,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-22,Group 6,Soviet Union,Scotland,Nicolae Rainea,Romania,Alexis Ponnet,Belgium,Alojzy Jarguz,Poland,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-23,Group 1,Italy,Cameroon,Bogdan Dotchev,Bulgaria,Sánchez,Spain,Emilio Soriano Aladrén,Spain,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-23,Group 3,Argentina,El Salvador,Luis Barrancos,Bolivia,Augusto Lamo Castillo,Spain,Belaïd Lacarne,Algeria,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-23,Group 6,Brazil,New Zealand,Damir Matovinović,Yugoslavia,Charles Corver,Netherlands,Abraham Klein,Israel,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-24,Group 2,Algeria,Chile,Rómulo Méndez,Guatemala,Erik Fredriksson,Sweden,Arnaldo Cézar Coelho,Brazil,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-24,Group 4,France,Czechoslovakia,Paolo Casarin,Italy,Károly Palotai,Hungary,Benjamin Dwomoh,Ghana,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-24,Group 5,Honduras,Yugoslavia,Gastón Castro,Chile,Luis Paulino Siles,Costa Rica,Arturo Ithurralde,Argentina,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1982_FIFA_World_Cup
1982,1982-06-25,Group 2,West Germany,Austria,Bob Valentine,Scotland,Arnaldo Cézar Coelho,Brazil,Ibrahim Youssef Al-Doy,Bahrain,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-25,Group 4,England,Kuwait,Gilberto Aristizábal,Colombia,Henning Lund-Sørensen,Denmark,Garcia,Spain,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-25,Group 5,Spain,Northern Ireland,Héctor Ortiz,Paraguay,Enrique Labo Revoredo,Peru,Alexis Ponnet,Belgium,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-28,Second round Group D,Austria,France,Károly Palotai,Hungary,Vojtěch Christov,Czechoslovakia,Damir Matovinović,Yugoslavia,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-28,Second round Group A,Poland,Belgium,Luis Paulino Siles,Costa Rica,Enrique Labo Revoredo,Peru,Gastón Castro,Chile,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-29,Second round Group C,Italy,Argentina,Nicolae Rainea,Romania,Bruno Galler,Switzerland,Belaïd Lacarne,Algeria,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-06-29,Second round Group B,West Germany,England,Arnaldo Cézar Coelho,Brazil,Héctor Ortiz,Paraguay,Rómulo Méndez,Guatemala,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-07-01,Second round Group D,Austria,Northern Ireland,Adolf Prokop,East Germany,Walter Eschweiler,West Germany,Erik Fredriksson,Sweden,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-07-01,Second round Group A,Belgium,Soviet Union,Michel Vautrot,France,António Garrido,Portugal,Charles Corver,Netherlands,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-07-02,Second round Group C,Argentina,Brazil,Mario Rubio Vázquez,Mexico,Gastón Castro,Chile,Gilberto Aristizábal,Colombia,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-07-02,Second round Group B,West Germany,Spain,Paolo Casarin,Italy,Franz Wöhrer,Austria,Károly Palotai,Hungary,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-07-04,Second round Group D,France,Northern Ireland,Alojzy Jarguz,Poland,Yousef Alghoul,Libya,Nicolae Rainea,Romania,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-07-04,Second round Group A,Soviet Union,Poland,Bob Valentine,Scotland,Clive White,England,Henning Lund-Sørensen,Denmark,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-07-05,Second round Group C,Italy,Brazil,Abraham Klein,Israel,Chan Tam Sun,Hong Kong,Bogdan Dotchev,Bulgaria,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1982_FIFA_World_Cup
1982,1982-07-05,Second round Group B,Spain,England,Alexis Ponnet,Belgium,Belaïd Lacarne,Algeria,Michel Vautrot,France,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-07-08,Semi-finals,Poland,Italy,Juan Daniel Cardellino,Uruguay,Gilberto Aristizábal,Colombia,David Socha,United States,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-07-08,Semi-finals,West Germany,France,Charles Corver,Netherlands,Bob Valentine,Scotland,Bruno Galler,Switzerland,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-07-10,Third place play-off,Poland,France,António Garrido,Portugal,Mario Rubio Vázquez,Mexico,Belaïd Lacarne,Algeria,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1982,1982-07-11,Final,Italy,West Germany,Arnaldo Cézar Coelho,Brazil,Abraham Klein,Israel,Vojtěch Christov,Czechoslovakia,https://www.rsssf.org/tables/82full.html; https://github.com/jfjelstul/worldcup
1986,1986-05-31,Group A,Bulgaria,Italy,Erik Fredriksson,Sweden,Edgardo Codesal,Mexico,Volker Roth,West Germany,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-01,Group D,Spain,Brazil,Chris Bambridge,Australia,David Socha,United States,Jan Keizer,Netherlands,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-01,Group C,Canada,France,Hernán Silva,Chile,Berny Ulloa Morera,Costa Rica,Rómulo Méndez,Guatemala,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-02,Group A,Argentina,South Korea,Victoriano Sánchez Arminio,Spain,Gabriel González,Paraguay,Jesús Díaz,Colombia,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-02,Group C,Soviet Union,Hungary,Luigi Agnolin,Italy,George Courtney,England,,,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-02,Group F,Morocco,Poland,José Luis Martínez Bazán,Uruguay,Joël Quiniou,France,Idrissa Traoré,Mali,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-03,Group B,Belgium,Mexico,Carlos Espósito,Argentina,Carlos Silva Valente,Portugal,Rómulo Méndez,Guatemala,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-03,Group D,Algeria,Northern Ireland,Valeri Butenko,Soviet Union,Zoran Petrović,Yugoslavia,André Daina,Switzerland,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-03,Group F,Portugal,England,Volker Roth,West Germany,Bogdan Dotchev,Bulgaria,Jamal Al-Sharif,Syria,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-04,Group B,Paraguay,Iraq,Edwin Picon-Ackong,Mauritius,David Socha,United States,Berny Ulloa Morera,Costa Rica,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-04,Group E,Uruguay,West Germany,Vojtěch Christov,Czechoslovakia,Hernán Silva,Chile,Carlos Silva Valente,Portugal,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-04,Group E,Scotland,Denmark,Lajos Németh,Hungary,Fallaj Al-Shanar,Saudi Arabia,Siegfried Kirschen,East Germany,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-05,Group A,Italy,Argentina,Jan Keizer,Netherlands,Alan Snoddy,Northern Ireland,Antonio Márquez Ramírez,Mexico,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-05,Group C,France,Soviet Union,Romualdo Arppi Filho,Brazil,Shizuo Takada,Japan,Victoriano Sánchez Arminio,Spain,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-05,Group A,South Korea,Bulgaria,Fallaj Al-Shanar,Saudi Arabia,Valeri Butenko,Soviet Union,Ioan Igna,Romania,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-06,Group C,Hungary,Canada,Jamal Al-Sharif,Syria,Chris Bambridge,Australia,Zoran Petrović,Yugoslavia,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-06,Group D,Brazil,Algeria,Rómulo Méndez,Guatemala,Joël Quiniou,France,José Luis Martínez Bazán,Uruguay,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-06,Group F,England,Morocco,Gabriel González,Paraguay,Siegfried Kirschen,East Germany,Carlos Espósito,Argentina,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-07,Group B,Mexico,Paraguay,George Courtney,England,Ioan Igna,Romania,Erik Fredriksson,Sweden,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-07,Group D,Northern Ireland,Spain,Horst Brummeier,Austria,Lajos Németh,Hungary,Luigi Agnolin,Italy,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-07,Group F,Poland,Portugal,Ali Bin Nasser,Tunisia,,,,,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
