tournament_year,match_date,stage,home_team,away_team,referee,referee_country,assistant1,assistant1_country,assistant2,assistant2_country,source_url
1938,1938-06-16,Semi-finals,Hungary,Sweden,Lucien Leclerq,France,Giuseppe Scarpi,Italy,Johannes van Moorsel,Netherlands,https://www.rsssf.org/tables/38full.html; https://github.com/jfjelstul/worldcup
1938,1938-06-16,Semi-finals,Italy,Brazil,Hans Wüthrich,Switzerland,Alois Beranek,Austria,Marenco,France,https://www.rsssf.org/tables/38full.html; https://github.com/jfjelstul/worldcup
1938,1938-06-19,Third place play-off,Brazil,Sweden,John Langenus,Belgium,Valprede,France,Olive,France,https://www.rsssf.org/tables/38full.html; https://github.com/jfjelstul/worldcup
1938,1938-06-19,Final,Italy,Hungary,Georges Capdeville,France,Augustin Krist,Czechoslovakia,Hans Wüthrich,Switzerland,https://www.rsssf.org/tables/38full.html; https://github.com/jfjelstul/worldcup
1950,1950-06-24,Group 1,Brazil,Mexico,George Reader,England,George Mitchell,Scotland,Sandy Griffiths,Wales,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup
1950,1950-06-25,Group 1,Yugoslavia,Switzerland,Giovanni Galeati,Italy,Generoso Dattilo,Italy,Ivan Eklind,Sweden,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup
1950,1950-06-25,Group 2,England,Chile,Karel van der Meer,Netherlands,Mário Gardelli,Brazil,Gunnar Dahlner,Sweden,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
1950,1950-06-25,Group 2,Spain,United States,Mário Vianna,Brazil,José da Costa,Portugal,Charles de La Salle,France,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
1950,1950-06-25,Group 3,Sweden,Italy,Jean Lutz,Switzerland,Alois Beranek,Austria,Carlos Estévez Tejada,Mexico,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
1950,1950-06-28,Group 1,Brazil,Switzerland,Ramón Azón Romá,Spain,Cayetano de Nicola,Paraguay,Sergio Bustamante,Chile,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
1950,1950-06-28,Group 1,Yugoslavia,Mexico,Reginald Leafe,England,Karel van der Meer,Netherlands,Gunnar Dahlner,Sweden,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
1950,1950-06-29,Group 2,Spain,Chile,Alberto Malcher,Brazil,Esteban Marino,Uruguay,Alfredo Álvarez,Bolivia,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
1950,1950-06-29,Group 2,United States,England,Generoso Dattilo,Italy,Giovanni Galeati,Italy,Charles de La Salle,France,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
1950,1950-06-29,Group 3,Sweden,Paraguay,George Mitchell,Scotland,Leo Lemešić,Yugoslavia,Prudencio Garcia,United States,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
1950,1950-07-01,Group 1,Brazil,Yugoslavia,Sandy Griffiths,Wales,Alois Beranek,Austria,José da Costa,Portugal,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
1950,1950-07-02,Group 2,Chile,United States,Mário Gardelli,Brazil,Alfredo Álvarez,Bolivia,Mario Rubén Heyn,Paraguay,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
1950,1950-07-02,Group 2,Spain,England,Giovanni Galeati,Italy,Jean Lutz,Switzerland,Generoso Dattilo,Italy,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup
1950,1950-07-02,Group 3,Italy,Paraguay,Arthur Edward Ellis,England,Charles de La Salle,France,Prudencio Garcia,United States,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
1950,1950-07-02,Group 4,Uruguay,Bolivia,George Reader,England,Mário Vianna,Brazil,Leo Lemešić,Yugoslavia,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
1950,1950-07-02,Group 1,Switzerland,Mexico,Ivan Eklind,Sweden,Sergio Bustamante,Chile,Gunnar Dahlner,Sweden,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
1950,1950-07-09,Final round,Brazil,Sweden,Arthur Edward Ellis,England,Charles de La Salle,France,Prudencio Garcia,United States,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
1950,1950-07-09,Final round,Uruguay,Spain,Sandy Griffiths,Wales,Alfredo Álvarez,Bolivia,Generoso Dattilo,Italy,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
1950,1950-07-13,Final round,Brazil,Spain,Reginald Leafe,England,José da Costa,Portugal,George Mitchell,Scotland,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
1950,1950-07-13,Final round,Uruguay,Sweden,Giovanni Galeati,Italy,Alois Beranek,Austria,Cayetano de Nicola,Paraguay,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
1950,1950-07-16,Final round,Sweden,Spain,Karel van der Meer,Netherlands,Prudencio Garcia,United States,Jean Lutz,Switzerland,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
1950,1950-07-16,Final round,Uruguay,Brazil,George Reader,England,Arthur Edward Ellis,England,George Mitchell,Scotland,https://www.rsssf.org/tables/50full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-16,Group 1,Brazil,Mexico,Raymond Wyssling,Switzerland,Jose da Costa Vieira,Portugal,Schönholser,Switzerland,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-16,Group 1,Yugoslavia,France,Sandy Griffiths,Wales,Manuel Asensi,Spain,Baumberger,Switzerland,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-16,Group 3,Austria,Scotland,Laurent Franken,Belgium,Mário Vianna,Brazil,Gulde,Switzerland,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-16,Group 3,Uruguay,Czechoslovakia,Arthur Edward Ellis,England,Schicker,Switzerland,William Ling,England,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-17,Group 4,Switzerland,Italy,Mário Vianna,Brazil,Manuel Asensi,Spain,Esteban Marino,Uruguay,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-17,Group 2,Hungary,South Korea,Raymond Vincenti,France,Carl Erich Steiner,Austria,van Gunten,Switzerland,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-17,Group 2,West Germany,Turkey,Jose da Costa Vieira,Portugal,István Zsolt,Hungary,Merlotti,Switzerland,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-17,Group 4,England,Belgium,Emil Schmetzer,West Germany,Buchmüller,Switzerland,Rufli,Switzerland,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-19,Group 3,Uruguay,Scotland,Vincenzo Orlandini,Italy,Raymond Wyssling,Switzerland,Guidi,Switzerland,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-19,Group 1,Brazil,Yugoslavia,Charlie Faultless,Scotland,Carl Erich Steiner,Austria,van Gunten,Switzerland,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-19,Group 3,Austria,Czechoslovakia,Vasa Stefanovic,Yugoslavia,Dörflinger,Switzerland,Gulde,Switzerland,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-19,Group 1,France,Mexico,Manuel Asensi,Spain,Laurent Franken,Belgium,Baumberger,Switzerland,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-20,Group 2,Hungary,West Germany,William Ling,England,Sandy Griffiths,Wales,Schicker,Switzerland,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-20,Group 2,Turkey,South Korea,Esteban Marino,Uruguay,Vincenzo Orlandini,Italy,Schönholser,Switzerland,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-20,Group 4,Italy,Belgium,Carl Erich Steiner,Austria,Emil Schmetzer,West Germany,Merlotti,Switzerland,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-20,Group 4,England,Switzerland,István Zsolt,Hungary,Vasa Stefanovic,Yugoslavia,Jose da Costa Vieira,Portugal,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-23,Group 2 play-off,West Germany,Turkey,Raymond Vincenti,France,Charlie Faultless,Scotland,Dörflinger,Switzerland,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-23,Group 4 play-off,Switzerland,Italy,Sandy Griffiths,Wales,William Ling,England,Jose da Costa Vieira,Portugal,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-26,Quarter-finals,Austria,Switzerland,Charlie Faultless,Scotland,Emil Schmetzer,West Germany,Manuel Asensi,Spain,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-26,Quarter-finals,Uruguay,England,Carl Erich Steiner,Austria,Vincenzo Orlandini,Italy,Vasa Stefanovic,Yugoslavia,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-27,Quarter-finals,Hungary,Brazil,Arthur Edward Ellis,England,William Ling,England,Raymond Wyssling,Switzerland,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-27,Quarter-finals,West Germany,Yugoslavia,István Zsolt,Hungary,Laurent Franken,Belgium,Buchmüller,Switzerland,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-30,Semi-finals,Hungary,Uruguay,Sandy Griffiths,Wales,Charlie Faultless,Scotland,Raymond Vincenti,France,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-06-30,Semi-finals,West Germany,Austria,Vincenzo Orlandini,Italy,Arthur Edward Ellis,England,Buchmüller,Switzerland,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-07-03,Third place play-off,Austria,Uruguay,Raymond Wyssling,Switzerland,István Zsolt,Hungary,Arthur Edward Ellis,England,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1954,1954-07-04,Final,West Germany,Hungary,William Ling,England,Vincenzo Orlandini,Italy,Sandy Griffiths,Wales,https://www.rsssf.org/tables/54full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-08,Group 3,Sweden,Mexico,Nikolay Latyshev,Soviet Union,Jack Mowat,Scotland,Arne Eriksson,Finland,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
1958,1958-06-08,Group 1,Argentina,West Germany,Reginald Leafe,England,Helge,Denmark,Sten Ahlner,Sweden,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-08,Group 1,Northern Ireland,Czechoslovakia,Fritz Seipelt,Austria,Arthur Edward Ellis,England,Joaquim Campos,Portugal,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-08,Group 2,France,Paraguay,Juan Garay Gardeazábal,Spain,Sandy Griffiths,Wales,Juan Regis Brozzi,Argentina,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-08,Group 2,Yugoslavia,Scotland,Raymond Wyssling,Switzerland,Martin Macko,Czechoslovakia,Vincenzo Orlandini,Italy,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-08,Group 3,Hungary,Wales,José María Codesal,Uruguay,Leo Lemesic,Yugoslavia,Lucien van Nuffel,Belgium,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-08,Group 4,Brazil,Austria,Maurice Guigue,France,Albert Dusch,West Germany,Jan Bronkhorst,Netherlands,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-08,Group 4,Soviet Union,England,István Zsolt,Hungary,Carl Jørgensen,Denmark,Nilsen,Norway,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-11,Group 1,Argentina,Northern Ireland,Sten Ahlner,Sweden,Joaquim Campos,Portugal,Helge,Denmark,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-11,Group 1,West Germany,Czechoslovakia,Arthur Edward Ellis,England,Fritz Seipelt,Austria,Reginald Leafe,England,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-11,Group 2,Paraguay,Scotland,Vincenzo Orlandini,Italy,Juan Garay Gardeazábal,Spain,Angrén,Sweden,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-11,Group 2,Yugoslavia,France,Sandy Griffiths,Wales,Dragvoll,Norway,Raymond Wyssling,Switzerland,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-11,Group 3,Mexico,Wales,Leo Lemesic,Yugoslavia,José María Codesal,Uruguay,Nikolay Latyshev,Soviet Union,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
1958,1958-06-11,Group 4,Brazil,England,Albert Dusch,West Germany,István Zsolt,Hungary,Bertil Lööw,Sweden,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-11,Group 4,Soviet Union,Austria,Carl Jørgensen,Denmark,Nilsen,Norway,Ackeborn,Sweden,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-12,Group 3,Sweden,Hungary,Jack Mowat,Scotland,Dragvoll,Norway,Lucien van Nuffel,Belgium,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-15,Group 3,Sweden,Wales,Lucien van Nuffel,Belgium,Nikolay Latyshev,Soviet Union,Leo Lemesic,Yugoslavia,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
1958,1958-06-15,Group 1,Czechoslovakia,Argentina,Arthur Edward Ellis,England,Reginald Leafe,England,Fritz Seipelt,Austria,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-15,Group 1,West Germany,Northern Ireland,Joaquim Campos,Portugal,Sten Ahlner,Sweden,Helge,Denmark,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-15,Group 2,France,Scotland,Juan Regis Brozzi,Argentina,Vincenzo Orlandini,Italy,Raymond Wyssling,Switzerland,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-15,Group 2,Paraguay,Yugoslavia,Martin Macko,Czechoslovakia,Juan Garay Gardeazábal,Spain,Sandy Griffiths,Wales,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-15,Group 3,Hungary,Mexico,Arne Eriksson,Finland,José María Codesal,Uruguay,Jack Mowat,Scotland,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-15,Group 4,Brazil,Soviet Union,Maurice Guigue,France,Carl Jørgensen,Denmark,Nilsen,Norway,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
